LSOAs,Ethnic Group;White;2011,Ethnic Group;Mixed/multiple ethnic groups;2011,Ethnic Group;Asian/Asian British;2011,Ethnic Group;Black/African/Caribbean/Black British;2011,Ethnic Group;Other ethnic group;2011,Ethnic Group;BAME;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011
E01002463,1137,53,327,12,41,433,72.4,3.4,20.8,0.8,2.6,27.6
E01002512,1260,52,345,31,53,481,72.4,3,19.8,1.8,3,27.6
E01002513,979,42,249,50,21,362,73,3.1,18.6,3.7,1.6,27
E01002516,842,59,431,48,74,612,57.9,4.1,29.6,3.3,5.1,42.1
E01002450,994,82,269,65,11,427,70,5.8,18.9,4.6,0.8,30
E01002451,1035,57,327,56,39,479,68.4,3.8,21.6,3.7,2.6,31.6
E01002452,1000,44,385,66,44,539,65,2.9,25,4.3,2.9,35
E01002453,1167,63,329,74,59,525,69,3.7,19.4,4.4,3.5,31
E01002454,1261,87,260,105,64,516,71,4.9,14.6,5.9,3.6,29
E01002414,1783,133,855,412,131,1531,53.8,4,25.8,12.4,4,46.2
E01002514,1318,100,328,57,73,558,70.3,5.3,17.5,3,3.9,29.7
E01002515,1182,66,208,109,43,426,73.5,4.1,12.9,6.8,2.7,26.5
E01033725,1669,66,409,159,83,717,69.9,2.8,17.1,6.7,3.5,30.1
E01002520,1056,80,272,87,54,493,68.2,5.2,17.6,5.6,3.5,31.8
E01002521,1152,68,273,157,66,564,67.1,4,15.9,9.1,3.8,32.9
E01002523,930,107,470,79,39,695,57.2,6.6,28.9,4.9,2.4,42.8
E01033724,2534,219,1490,471,219,2399,51.4,4.4,30.2,9.5,4.4,48.6
E01002410,1051,49,454,100,40,643,62,2.9,26.8,5.9,2.4,38
E01002412,1279,91,595,170,156,1012,55.8,4,26,7.4,6.8,44.2
E01002456,1149,96,324,72,34,526,68.6,5.7,19.3,4.3,2,31.4
E01002509,993,20,365,40,34,459,68.4,1.4,25.1,2.8,2.3,31.6
E01002511,1081,69,239,93,40,441,71,4.5,15.7,6.1,2.6,29
E01002422,824,60,371,140,41,612,57.4,4.2,25.8,9.7,2.9,42.6
E01002423,1027,54,406,119,39,618,62.4,3.3,24.7,7.2,2.4,37.6
E01002424,823,79,481,119,72,751,52.3,5,30.6,7.6,4.6,47.7
E01002425,960,48,460,218,109,835,53.5,2.7,25.6,12.1,6.1,46.5
E01002427,855,58,453,110,30,651,56.8,3.9,30.1,7.3,2,43.2
E01002428,947,60,294,106,63,523,64.4,4.1,20,7.2,4.3,35.6
E01002408,974,67,302,139,45,553,63.8,4.4,19.8,9.1,2.9,36.2
E01002409,1058,94,424,161,36,715,59.7,5.3,23.9,9.1,2,40.3
E01002429,856,52,259,223,23,557,60.6,3.7,18.3,15.8,1.6,39.4
E01002455,987,85,436,188,32,741,57.1,4.9,25.2,10.9,1.9,42.9
E01002457,870,94,423,133,40,690,55.8,6,27.1,8.5,2.6,44.2
E01002392,904,85,315,308,63,771,54,5.1,18.8,18.4,3.8,46
E01002393,891,113,566,360,58,1097,44.8,5.7,28.5,18.1,2.9,55.2
