Row_Labels,Burglary,Total_crime
E01000402,22,68
E01000403,20,314
E01000404,22,152
E01000405,15,71
E01000406,10,92
E01000407,7,56
E01000408,23,147
E01000409,7,24
E01000410,7,60
E01000411,5,34
E01000412,13,62
E01000413,11,69
E01000414,15,175
E01000415,5,23
E01000416,17,221
E01000417,14,109
E01000418,14,74
E01000419,3,32
E01000420,5,38
E01000421,3,22
E01000422,28,121
E01000423,1,18
E01000424,8,62
E01000425,6,30
E01000426,11,53
E01000427,11,77
E01000428,20,171
E01000429,39,205
E01000430,14,83
E01000431,20,163
E01000432,22,127
E01000433,17,183
E01000434,5,78
E01000435,13,97
E01000436,8,30
E01000437,10,45
E01000438,10,38
E01000439,13,132
E01000440,2,26
E01000441,10,100
E01000442,11,50
E01000443,10,42
E01000444,12,36
E01000445,11,47
E01000446,10,28
E01000447,18,204
E01000448,6,26
E01000449,8,41
E01000450,5,59
E01000451,6,40
E01000452,5,31
E01000453,8,55
E01000454,5,51
E01000455,5,49
E01000456,9,24
E01000457,19,199
E01000458,8,28
E01000459,13,96
E01000460,9,31
E01000461,7,28
E01000462,19,138
E01000463,12,30
E01000464,3,88
E01000465,10,74
E01000466,12,157
E01000467,12,111
E01000468,38,146
E01000469,24,103
E01000470,26,160
E01000471,10,57
E01000472,16,226
E01000473,19,240
E01000474,10,71
E01000475,33,212
E01000476,9,109
E01000477,43,213
E01000478,8,119
E01000479,28,87
E01000480,31,97
E01000481,19,90
E01000482,29,437
E01000483,10,213
E01000484,4,58
E01000485,11,43
E01000486,21,56
E01000487,23,99
E01000488,24,75
E01000489,24,138
E01000490,37,212
E01000491,33,139
E01000492,18,60
E01000493,34,88
E01000494,25,105
E01000495,29,198
E01000497,18,260
E01000498,13,86
E01000499,32,214
E01000501,22,144
E01000502,15,113
E01000503,29,131
E01000504,16,130
E01000505,17,88
E01000506,19,248
E01000507,14,91
E01000508,25,322
E01000509,19,108
E01000510,29,289
E01000511,19,105
E01000512,26,132
E01000513,17,97
E01000514,24,73
E01000515,16,165
E01000516,24,201
E01000517,13,116
E01000518,23,87
E01000519,17,104
E01000520,15,109
E01000521,31,418
E01000522,19,159
E01000523,26,298
E01000524,45,518
E01000525,21,167
E01000526,62,340
E01000527,17,149
E01000528,23,153
E01000530,23,108
E01000531,24,144
E01000532,18,174
E01000533,36,343
E01000534,36,110
E01000535,25,166
E01000536,16,135
E01000538,18,72
E01000539,13,55
E01000540,14,43
E01000541,18,113
E01000543,18,150
E01000544,9,139
E01000545,28,339
E01000546,16,101
E01000547,9,80
E01000548,33,448
E01000549,25,93
E01000550,17,193
E01000551,16,228
E01000552,9,228
E01000553,17,190
E01000554,10,127
E01000555,22,82
E01000556,24,248
E01000557,10,103
E01000558,42,170
E01000559,21,125
E01000560,23,120
E01000561,25,152
E01000562,27,81
E01000563,23,100
E01000564,21,98
E01000565,24,137
E01000566,15,74
E01000567,15,82
E01000568,15,222
E01000569,19,76
E01000570,22,112
E01000571,25,159
E01000572,10,70
E01000573,17,68
E01000574,15,56
E01000575,42,182
E01000576,26,117
E01000577,18,192
E01000578,25,150
E01000579,15,120
E01000580,35,202
E01000581,25,130
E01000582,37,118
E01000583,23,310
E01000584,12,72
E01000585,14,69
E01000586,33,432
E01000587,13,166
E01000588,17,216
E01000589,27,184
E01000590,22,87
E01000591,22,194
E01000592,29,128
E01000593,8,62
E01000594,26,192
E01000595,12,151
E01000596,28,159
E01000599,6,129
E01000600,37,561
E01000601,43,502
E01000602,43,154
E01000603,21,92
E01000604,30,142
E01000605,21,132
E01000606,11,62
E01000607,37,144
E01000608,26,341
E01000609,29,139
E01000610,19,100
E01000611,15,100
E01000612,19,93
E01000613,7,82
E01000615,29,309
E01000616,21,105
E01000617,22,134
E01000618,10,83
E01000619,14,81
E01000620,18,94
E01000621,17,133
E01000622,16,95
E01000623,25,98
E01000624,35,97
E01000625,18,100
E01000626,11,128
E01000627,26,187
E01000628,41,219
E01000629,21,109
E01000630,12,252
E01000631,17,234
E01000632,12,162
E01000633,21,275
E01000634,15,177
E01000635,38,725
E01000636,18,210
E01000637,5,106
E01000638,19,180
E01000639,23,89
E01000640,24,290
E01000641,11,125
E01000642,45,372
E01000643,32,384
E01000644,19,197
E01000645,12,52
E01000646,9,142
E01000647,8,27
E01000648,10,111
E01000649,15,64
E01000650,21,66
E01000651,13,48
E01000652,16,76
E01000653,17,56
E01000654,7,40
E01000655,5,36
E01000656,13,67
E01000657,20,167
E01000658,14,49
E01000659,6,42
E01000661,23,148
E01000662,16,76
E01000663,6,56
E01000664,9,77
E01000665,10,119
E01000666,13,110
E01000667,11,48
E01000668,12,141
E01000669,7,54
E01000670,12,81
E01000671,15,97
E01000672,17,121
E01000673,17,78
E01000674,15,88
E01000675,30,660
E01000676,52,930
E01000677,15,352
E01000678,13,70
E01000679,12,71
E01000680,47,113
E01000681,5,27
E01000682,11,54
E01000683,2,25
E01000684,7,63
E01000685,21,97
E01000686,11,53
E01000687,8,71
E01000688,13,41
E01000689,18,164
E01000690,16,48
E01000691,14,56
E01000692,24,158
E01000693,20,248
E01000694,15,49
E01000695,13,49
E01000696,10,101
E01000697,11,76
E01000698,15,55
E01000699,19,134
E01000700,10,45
E01000701,20,52
E01000702,7,37
E01000703,22,99
E01000704,18,82
E01000705,17,81
E01000706,18,85
E01000707,15,56
E01000708,19,77
E01000709,13,102
E01000710,16,102
E01000711,19,112
E01000712,20,75
E01000713,9,44
E01000714,36,399
E01000715,9,47
E01000716,16,67
E01000717,11,53
E01000718,26,135
E01000719,50,297
E01000720,43,239
E01000721,9,158
E01000722,34,207
E01000723,8,33
E01000724,23,158
E01000725,31,143
E01000726,10,48
E01000727,25,150
E01000728,24,225
E01000729,31,217
E01000730,22,174
E01000731,14,97
E01000732,10,41
E01000733,22,108
E01000734,26,56
E01000735,12,140
E01000736,13,97
E01000737,20,128
E01000738,31,260
E01000739,16,135
E01000740,22,307
E01000741,24,156
E01000742,35,161
E01000743,29,172
E01000744,22,134
E01000745,26,172
E01000746,20,182
E01000747,30,129
E01000748,34,85
E01000749,22,100
E01000750,8,46
E01000751,7,107
E01000752,9,96
E01000753,15,34
E01000754,9,57
E01000755,7,32
E01000756,10,157
E01000757,7,28
E01000758,12,36
E01000759,14,63
E01000760,17,117
E01000761,9,33
E01000762,8,27
E01000763,9,40
E01000764,9,48
E01000765,11,137
E01000766,12,35
E01000767,8,44
E01000768,12,38
E01000769,9,285
E01000770,10,71
E01000771,15,123
E01000772,5,30
E01000773,9,47
E01000774,19,95
E01000775,13,132
E01000777,16,74
E01000778,14,78
E01000779,21,344
E01000780,10,104
E01000781,14,114
E01000782,29,143
E01000783,22,105
E01000784,11,72
E01000785,12,94
E01000786,16,136
E01000787,20,93
E01000788,7,73
E01000789,21,113
E01000790,37,455
E01000791,9,55
E01000792,12,98
E01000793,11,38
E01000794,9,43
E01000795,9,52
