Row_Labels,Burglary,Total_crime
E01001576,13,150
E01001577,15,146
E01001578,18,186
E01001579,15,135
E01001580,30,225
E01001581,19,126
E01001582,23,113
E01001583,26,118
E01001584,22,105
E01001585,15,100
E01001586,25,83
E01001587,39,151
E01001588,18,105
E01001589,18,140
E01001590,19,98
E01001591,21,143
E01001592,8,95
E01001593,18,90
E01001594,10,101
E01001595,12,105
E01001596,25,41
E01001597,25,104
E01001598,23,99
E01001599,14,136
E01001600,18,82
E01001601,15,33
E01001602,23,111
E01001603,14,79
E01001604,7,74
E01001605,13,50
E01001606,8,30
E01001607,17,82
E01001608,12,94
E01001609,20,285
E01001610,12,51
E01001611,13,60
E01001613,16,104
E01001614,8,176
E01001615,34,405
E01001617,20,143
E01001618,11,86
E01001619,11,77
E01001620,9,126
E01001621,13,103
E01001623,17,95
E01001624,3,51
E01001625,13,135
E01001629,28,202
E01001631,10,202
E01001632,16,98
E01001633,13,127
E01001634,9,78
E01001635,17,68
E01001636,17,95
E01001637,18,108
E01001638,18,136
E01001640,14,339
E01001641,49,544
E01001642,18,247
E01001644,31,204
E01001645,10,71
E01001646,22,168
E01001647,16,84
E01001648,22,100
E01001649,17,78
E01001650,21,137
E01001651,14,132
E01001652,17,183
E01001653,6,78
E01001654,14,87
E01001655,12,106
E01001656,23,65
E01001657,26,83
E01001658,20,103
E01001659,18,114
E01001660,28,142
E01001661,20,137
E01001662,20,172
E01001664,20,284
E01001665,19,131
E01001666,19,222
E01001667,16,913
E01001668,19,220
E01001669,21,150
E01001671,12,79
E01001672,18,130
E01001673,24,239
E01001674,20,177
E01001675,27,178
E01001676,13,136
E01001677,9,237
E01001678,11,46
E01001679,10,74
E01001680,11,48
E01001681,11,60
E01001682,14,112
E01001683,8,99
E01001684,16,72
E01001685,14,61
E01001686,9,80
E01001687,20,155
E01001688,42,234
E01001690,13,109
E01001692,20,116
E01001693,16,162
E01001694,12,89
E01001695,18,149
E01001696,29,291
E01001697,30,189
E01001698,14,137
E01001699,16,123
E01001700,25,202
E01001701,19,272
E01001702,8,73
E01001703,10,111
E01001704,14,138
E01001705,10,170
E01001706,8,71
E01001708,15,67
E01001709,19,202
E01001710,12,117
E01001711,13,87
E01001712,8,150
E01001713,14,139
E01001714,21,95
E01001715,22,89
E01001716,27,133
E01001717,11,56
E01001718,48,231
E01001719,3,66
E01001720,24,150
E01001722,14,138
E01001723,9,94
E01001724,13,183
E01001725,12,67
E01001726,2,47
E01001727,5,60
E01001728,5,81
E01001729,10,357
E01001730,8,168
E01001731,28,360
E01001732,9,136
E01001733,17,138
E01001734,22,345
E01001735,2,130
E01001736,11,114
E01001737,15,110
E01001738,28,143
E01001739,24,156
E01001740,6,114
E01001741,17,135
E01001742,17,172
E01001744,15,136
E01001745,8,172
E01001746,0,74
E01001747,17,291
E01001748,30,550
E01001749,9,123
E01001750,30,178
E01001751,22,142
E01001752,12,139
E01001753,5,86
E01001754,26,262
E01001755,13,201
E01001756,34,257
E01001757,2,84
E01001758,13,372
E01001759,13,106
E01001760,17,476
E01001761,8,146
E01001762,21,261
E01001763,10,153
E01001764,9,141
E01001765,6,106
E01001767,18,120
E01001768,12,112
E01001769,14,128
E01001770,11,185
E01001772,3,64
E01001773,28,179
E01001774,17,266
E01001775,10,96
E01001776,14,103
E01001777,55,443
E01001779,24,335
E01001780,43,362
E01001781,10,124
E01001782,11,114
E01001783,15,101
E01001784,42,140
E01001785,8,81
E01001786,5,134
E01001787,3,100
E01001788,6,124
E01001789,20,90
E01001790,2,55
E01001791,6,98
E01001792,19,141
E01001793,19,112
E01001794,18,168
E01001795,17,145
E01001796,22,165
E01001798,4,182
E01001799,12,63
E01001800,6,173
E01001801,8,60
E01001802,10,59
E01001803,16,128
E01001804,8,42
E01001805,10,105
E01001806,14,152
E01001807,17,111
E01001808,20,180
E01001809,8,83
E01001811,8,88
E01001812,12,93
E01001813,18,177
E01001814,11,123
E01001815,11,84
E01001816,16,139
E01001819,17,102
E01001820,3,100
E01001821,4,84
E01001822,4,144
E01001823,9,84
E01001824,17,123
E01001825,10,45
E01001826,13,71
E01001827,11,125
E01001828,16,152
E01001829,23,156
E01001830,3,267
E01001831,22,346
E01001832,9,139
E01001833,11,160
E01001834,17,150
E01001835,4,66
E01001836,22,226
E01001837,22,147
E01001838,4,128
E01001839,31,298
E01001840,7,131
E01001841,19,124
E01001842,11,100
E01001843,12,75
E01001844,22,199
E01001845,6,119
E01001846,6,117
E01001847,3,88
E01001848,15,142
E01001849,37,261
E01001850,9,123
E01001851,35,137
E01001852,33,148
E01001853,35,126
E01001854,26,195
E01001855,29,140
E01001856,28,179
E01001857,19,535
E01001858,11,166
E01001859,9,90
E01001860,16,168
E01001861,21,149
E01001862,12,142
E01001863,17,113
E01001864,15,101
E01001865,16,89
E01001866,26,214
E01001867,10,60
E01001868,17,112
E01001869,25,121
E01001870,35,145
E01001871,22,110
E01001872,35,138
E01001873,22,126
E01001874,27,435
E01001875,19,209
E01001876,17,299
E01001877,32,184
E01001878,11,92
E01001879,40,161
E01001880,12,163
E01001881,26,411
E01001882,31,166
E01001883,17,98
E01001884,28,250
E01001885,4,80
E01001886,22,163
E01001887,25,115
E01001888,23,118
E01001889,18,120
E01001890,27,269
E01001891,22,208
E01001892,16,112
E01001893,16,158
E01001894,31,396
E01001895,19,115
E01001896,9,144
E01001897,20,119
E01001898,26,877
E01001899,17,568
E01001900,8,352
E01001901,30,125
E01001902,32,120
E01001903,38,192
E01001904,28,121
E01001905,29,122
E01001906,27,105
E01001907,23,93
E01001908,25,127
E01001909,27,165
E01001910,23,115
E01001911,10,170
E01001912,11,168
E01001913,15,165
E01001914,64,316
E01001915,14,213
E01001916,16,100
E01001917,27,110
E01001918,15,117
E01001919,20,104
E01001920,28,405
E01001921,29,188
E01001922,31,221
E01001923,14,143
E01001924,26,109
E01001925,31,167
E01001926,34,125
E01001927,27,102
E01001928,26,216
E01001929,26,120
E01001930,20,155
E01001931,21,117
E01001932,30,442
E01001933,24,177
E01001934,26,146
E01001935,36,163
E01001937,36,164
E01001938,15,123
E01001939,22,203
E01001940,18,184
E01001941,26,773
E01001942,26,246
E01001943,37,2322
E01001944,10,144
E01001945,12,163
E01001946,5,112
E01001947,5,78
E01001948,39,193
E01001949,28,111
E01001950,20,148
E01001951,22,111
E01001952,50,169
E01001953,28,420
E01001954,18,151
E01001955,15,162
E01001956,12,125
E01001957,14,106
E01001958,12,98
E01001959,18,128
E01001960,22,173
E01001961,11,146
E01001962,33,115
E01001963,26,128
E01001964,15,107
E01001965,8,71
E01001966,24,476
E01001967,29,95
E01001968,24,93
E01001969,29,143
E01001970,26,183
E01001971,16,158
E01001972,22,112
E01001973,41,312
E01001974,26,119
E01001975,12,109
E01001976,24,131
E01001977,14,152
E01001978,26,193
E01001979,39,386
E01001980,26,134
E01001981,11,110
E01001982,23,128
E01001983,14,99
E01001984,30,93
E01001985,20,97
E01001986,18,103
E01001987,35,101
E01001988,19,98
E01001989,25,174
E01001990,54,335
E01001991,30,98
E01001992,24,88
E01001993,19,73
E01001994,23,76
E01001995,20,147
E01001996,35,120
E01001997,41,267
E01001998,28,113
E01001999,30,202
E01002000,21,104
E01002001,19,86
E01002002,38,403
E01002003,38,186
E01002004,31,93
E01002005,27,85
E01002006,20,67
E01002007,22,99
E01002008,21,125
E01002009,27,146
E01002010,24,157
E01002011,23,157
E01002013,16,69
E01002014,22,184
E01002015,8,69
E01002016,16,91
E01002017,23,115
E01002018,13,62
E01002019,27,102
E01002020,32,118
E01002021,18,68
E01002022,40,317
E01002023,9,68
E01002024,17,77
E01002025,30,86
E01002026,75,1091
E01002027,14,76
E01002028,12,121
E01002029,34,696
E01002030,26,148
E01002031,36,583
E01002032,15,101
E01002033,17,103
E01002034,39,424
E01002036,46,206
E01002037,68,299
E01002038,35,240
E01002039,11,148
E01002040,25,137
E01002041,27,116
E01002042,33,145
E01002043,40,153
E01002044,24,123
E01002045,16,160
E01002046,32,162
E01002047,31,131
E01002048,27,95
E01002049,20,139
E01002050,8,68
E01002051,19,199
E01002052,14,92
E01002053,14,118
E01002054,10,105
E01002055,8,185
E01002056,19,134
E01002057,22,201
E01002058,35,216
E01002059,16,67
E01002060,13,75
E01002061,22,140
E01002062,27,129
E01002063,28,118
E01002064,8,79
E01002065,21,143
E01002066,22,250
E01002067,19,194
E01002068,54,415
E01002069,21,391
E01002070,36,203
E01002071,18,151
E01002072,29,194
E01002073,28,180
E01002074,38,179
E01002075,21,124
E01002076,25,120
E01002077,49,385
E01002078,33,152
E01002079,23,128
E01002080,51,453
E01002081,25,360
E01002082,10,105
E01002083,17,93
E01002084,36,179
E01002085,18,226
E01002086,18,150
E01002087,24,119
E01002088,33,146
E01002089,4,66
E01002090,21,89
E01002091,33,118
E01002092,31,142
E01002093,24,194
E01002094,14,81
E01002095,29,252
E01002096,26,93
E01002097,27,150
E01002098,24,178
E01002099,15,146
E01002100,16,132
E01002101,26,113
E01002102,32,176
E01002103,21,128
E01002104,17,99
E01002105,24,254
E01002106,25,71
E01002107,21,106
E01002108,11,41
E01002109,29,105
E01002110,13,62
E01002111,19,80
E01002112,16,72
E01002113,22,80
E01002114,21,95
E01002115,17,47
E01002116,22,55
E01002117,25,105
E01002118,18,128
E01002119,25,139
E01002120,11,69
E01002121,33,88
E01002122,21,77
E01002123,9,151
E01002124,38,79
E01002125,18,82
E01002126,23,222
E01002127,14,93
E01002128,24,112
E01002129,34,716
E01002130,31,415
E01002131,14,61
E01002132,13,93
E01002133,13,181
E01002134,19,83
E01002135,28,134
E01002136,22,117
E01002137,8,79
E01002138,19,71
E01002139,14,83
E01002140,21,122
E01002141,21,81
E01002142,23,111
E01002143,23,89
E01002144,25,98
E01002145,20,59
E01002146,11,26
E01002147,14,40
E01002148,14,63
E01002149,21,58
E01002150,19,177
E01002151,16,138
E01002152,16,42
E01002153,12,42
E01002154,27,91
E01002155,9,47
E01002156,18,46
E01002157,16,103
E01002158,12,41
E01002159,17,70
E01002160,13,76
E01002161,13,66
E01002162,13,82
E01002163,18,43
E01002164,10,61
E01002165,15,87
E01002166,10,57
E01002167,22,55
E01002168,16,88
E01002169,19,65
E01002170,17,54
E01002171,17,62
E01002172,18,79
E01002173,22,50
E01002174,24,53
E01002175,19,114
E01002176,13,100
E01002177,21,142
E01002178,16,48
E01002179,25,322
E01002180,20,218
E01002181,16,74
E01002182,22,96
E01002183,17,92
E01002184,16,73
E01002185,14,74
E01002186,15,101
E01002187,13,58
E01002188,23,64
E01002189,30,181
E01002190,32,74
E01002191,16,54
E01002192,20,95
E01002193,25,120
E01002194,13,50
E01002195,15,56
E01002196,6,30
E01002197,18,41
E01002198,33,91
E01002199,16,54
E01002200,24,96
E01002201,18,65
E01002202,24,159
E01002203,18,71
E01002204,19,104
E01002206,18,55
E01002207,20,52
E01002208,9,29
E01002209,25,96
E01002210,24,38
E01002211,16,72
E01002212,23,101
E01002213,26,213
E01002214,27,92
E01002215,12,98
E01002216,24,57
E01002217,6,80
E01002218,15,76
E01002219,21,194
E01002220,16,61
E01002221,26,96
E01002222,31,72
E01002223,36,102
E01002224,19,74
E01002225,7,47
E01002226,16,295
E01002227,24,97
E01002228,14,56
E01002229,19,89
E01002230,23,57
E01002231,20,92
E01002232,34,182
E01002233,30,182
E01002234,12,81
E01002235,16,100
E01002236,9,110
E01002237,10,114
E01002238,8,78
E01002239,28,72
E01002240,11,66
E01002241,14,65
E01002242,23,68
E01002243,14,123
E01002244,19,86
E01002245,22,94
E01002246,19,91
E01002247,32,116
E01002248,45,268
E01002249,29,147
E01002250,30,116
E01002251,15,75
E01002252,10,57
E01002253,15,51
E01002254,16,68
E01002255,5,32
E01002256,5,33
E01002257,14,59
E01002258,14,61
E01002259,12,56
E01002260,12,72
E01002261,15,106
E01002262,15,54
E01002263,13,44
E01002264,26,89
E01002265,13,63
E01002266,25,77
E01002267,16,94
E01002268,33,94
E01002269,14,157
E01002270,13,39
E01002271,22,49
E01002272,12,45
E01002273,20,54
E01002274,19,59
E01002275,11,51
E01002276,18,102
E01002277,27,132
E01002278,24,117
E01002279,19,119
E01002280,10,107
E01002281,32,183
E01002282,22,248
E01002283,15,81
E01002284,37,132
E01002285,11,41
E01002286,10,28
E01002287,8,62
E01002288,6,24
E01002289,18,50
E01002290,11,43
E01002291,16,79
E01002292,24,82
E01002293,39,348
E01002294,24,71
E01002295,11,52
E01002296,23,88
E01002297,25,135
E01002298,25,90
E01002299,21,99
E01002300,16,60
E01002301,17,50
E01002302,23,111
E01002303,20,107
E01002304,29,106
E01002305,12,60
E01002306,7,86
E01002307,16,56
E01002308,6,84
E01002309,15,84
E01002310,19,152
E01002311,15,65
E01002312,18,93
E01002313,18,75
E01002314,33,137
E01002315,13,77
E01002316,31,141
E01002317,15,42
E01002318,8,43
E01002319,22,253
E01002320,18,58
E01002321,30,185
E01002322,23,68
E01002323,13,50
E01002324,8,56
E01002325,18,93
E01002326,23,221
E01002327,14,55
E01002328,22,74
E01002329,23,69
E01002330,13,98
E01002331,13,52
E01002332,22,82
E01002333,19,37
E01002334,40,92
E01002335,11,69
E01002336,21,80
E01002337,17,75
E01002338,17,152
E01002339,23,70
E01002340,11,69
E01002341,9,46
E01002342,19,99
E01002343,15,54
E01002344,39,216
E01002345,30,380
E01002346,11,61
E01002347,19,73
E01002348,13,52
E01002349,23,71
E01002350,23,210
E01002351,20,70
E01002352,20,89
E01002353,28,505
E01002354,6,56
E01002355,21,41
E01002356,35,1326
E01002358,19,147
E01002359,7,61
E01002360,22,83
E01002361,22,415
E01002362,18,67
E01002363,13,67
E01002364,10,22
E01002365,14,88
E01002366,20,70
E01002367,27,176
E01002368,30,247
E01002369,27,152
E01002370,36,227
E01002371,25,104
E01002372,13,76
E01002373,17,89
E01002374,21,94
E01002375,15,93
E01002376,13,54
E01002377,32,113
E01002378,10,37
E01002379,26,132
E01002380,25,108
E01002381,24,64
E01002382,20,72
E01002383,15,67
E01002384,11,51
E01002385,16,113
E01002386,33,207
E01002387,13,67
E01002388,8,37
E01002389,9,34
E01002390,9,43
E01002391,18,53
E01002392,22,136
E01002393,14,128
E01002394,27,89
E01002395,34,92
E01002396,32,292
E01002397,40,366
E01002398,19,110
E01002399,24,119
E01002400,36,129
E01002401,32,141
E01002402,23,107
E01002403,27,89
E01002404,32,169
E01002405,43,180
E01002406,40,308
E01002407,36,389
E01002408,24,123
E01002409,23,122
E01002410,22,180
E01002411,35,132
E01002412,35,325
E01002413,32,167
E01002414,41,298
E01002415,13,54
E01002416,13,68
E01002417,29,97
E01002418,9,39
E01002419,19,71
E01002420,13,47
E01002421,15,89
E01002422,25,151
E01002423,24,154
E01002424,31,94
E01002425,16,76
E01002426,37,134
E01002427,20,68
E01002428,31,83
E01002429,14,78
E01002430,10,45
E01002431,15,38
E01002432,28,146
E01002433,14,95
E01002434,13,60
E01002435,15,55
E01002436,23,90
E01002437,13,46
E01002438,6,58
E01002439,22,164
E01002440,11,81
E01002441,20,123
E01002442,9,72
E01002443,36,282
E01002444,40,2421
E01002445,20,171
E01002446,28,151
E01002447,26,211
E01002448,34,212
E01002449,29,243
E01002450,6,40
E01002451,14,65
E01002452,11,53
E01002453,14,45
E01002454,21,120
E01002455,35,145
E01002456,29,161
E01002457,22,291
E01002458,12,45
E01002459,26,57
E01002460,19,112
E01002461,17,70
E01002462,14,32
E01002463,10,46
E01002464,21,56
E01002465,20,103
E01002466,11,83
E01002467,6,67
E01002468,13,107
E01002469,8,34
E01002470,28,180
E01002471,10,37
E01002472,21,142
E01002473,14,71
E01002474,17,106
E01002475,25,99
E01002476,15,36
E01002477,12,64
E01002478,13,111
E01002479,19,130
E01002480,17,52
E01002481,7,59
E01002482,22,62
E01002483,34,144
E01002484,12,60
E01002485,31,183
E01002486,34,172
E01002487,22,85
E01002488,22,131
E01002489,16,140
E01002490,45,336
E01002491,23,134
E01002492,29,128
E01002493,21,111
E01002494,16,49
E01002495,7,92
E01002496,34,225
E01002497,26,249
E01002498,14,147
E01002499,19,125
E01002501,16,77
E01002502,24,123
E01002503,21,134
E01002504,43,182
E01002505,28,449
E01002506,19,447
E01002507,23,198
E01002508,38,191
E01002509,13,48
E01002511,23,102
E01002512,18,144
E01002513,17,79
E01002514,15,371
E01002515,29,545
E01002516,16,87
E01002518,23,75
E01002519,25,123
E01002520,39,183
E01002521,51,533
E01002523,28,123
E01002525,23,125
E01002526,25,129
E01002527,13,107
E01002528,14,180
E01002529,42,235
E01002530,17,119
E01002531,16,76
E01002532,23,138
E01002533,11,61
E01002534,16,63
E01002535,30,321
E01002536,5,36
E01002537,14,86
E01002538,17,121
E01002539,5,44
E01002540,19,213
E01002541,27,119
E01002542,38,267
E01002543,24,156
E01002544,15,92
E01002545,11,233
E01002546,23,103
E01002547,12,98
E01002548,39,201
E01002549,27,109
E01002550,23,148
E01002551,24,108
E01002552,64,167
E01002553,22,154
E01002554,68,526
E01002555,24,176
E01002556,18,100
E01002557,22,121
E01002558,19,142
E01002559,26,249
E01002560,13,140
E01002561,6,100
E01002562,13,125
E01002563,23,123
E01002564,16,149
E01002565,28,183
E01002566,10,349
E01002567,3,100
E01002568,9,190
E01002569,21,115
E01002570,15,230
E01002571,25,109
E01002572,18,215
E01002573,15,174
E01002574,20,127
E01002575,33,164
E01002576,21,85
E01002577,19,129
E01002578,30,167
E01002579,26,118
E01002580,15,84
E01002581,16,99
E01002582,16,93
E01002583,25,123
E01002584,10,130
E01002585,21,161
E01002586,23,91
E01002587,13,133
E01002588,20,140
E01002589,28,382
E01002590,16,172
E01002591,14,62
E01002592,47,356
E01002593,10,164
E01002594,36,143
E01002595,29,160
E01002596,17,191
E01002598,11,250
E01002599,11,71
E01002600,12,74
E01002601,10,106
E01002602,16,59
E01002603,27,154
E01002604,10,82
E01002605,20,118
E01002606,15,122
E01002607,17,161
E01002608,18,206
E01002609,20,83
E01002610,19,100
E01002611,19,162
E01002612,13,241
E01002613,25,89
E01002614,16,143
E01002615,25,242
E01002616,23,93
E01002617,15,57
E01002618,24,99
E01002619,16,110
E01002620,25,191
E01002621,23,138
E01002622,28,132
E01002623,23,125
E01002624,20,131
E01002625,18,89
E01002626,28,187
E01002627,7,83
E01002628,33,151
E01002629,17,187
E01002630,17,166
E01002631,19,86
E01002632,13,95
E01002633,28,223
E01002634,6,188
E01002635,28,253
E01002636,16,87
E01002637,13,519
E01002638,7,164
E01002639,25,96
E01002640,23,190
E01002641,12,331
E01002642,38,544
E01002643,24,137
E01002645,28,247
E01002646,18,153
E01002647,13,118
E01002648,25,341
E01002649,24,217
E01002650,12,186
E01002651,15,85
E01002652,17,94
E01002653,29,108
E01002654,18,73
E01002655,29,101
E01002656,15,51
E01002657,26,121
E01002658,18,62
E01002659,20,81
E01002660,29,146
E01002661,33,261
E01002662,21,224
E01002663,23,125
E01002664,17,334
E01002665,22,120
E01002666,26,108
E01002667,7,124
E01002668,16,160
E01002669,16,104
E01002670,11,104
E01002671,4,65
E01002672,7,268
E01002673,0,74
E01002674,21,83
E01002675,17,96
E01002676,39,114
E01002677,17,151
E01002678,20,319
E01002679,14,117
E01002680,36,201
E01002681,26,284
E01002682,20,170
E01002683,19,132
E01002684,22,250
E01002686,15,155
E01002687,29,114
E01002689,7,71
E01002690,20,81
E01002691,29,115
E01002692,22,211
E01002693,21,345
E01002694,8,97
E01002695,23,461
E01002696,21,818
E01002697,12,171
E01002698,17,125
E01002699,15,145
E01002700,18,107
E01002701,22,213
E01002702,30,203
E01002703,18,117
E01002704,48,1002
E01002706,32,279
E01002707,15,205
E01002708,16,214
E01002709,8,86
E01002710,19,223
E01002711,35,644
E01002712,6,195
E01002713,15,121
E01002714,14,150
E01002715,5,112
E01002716,48,280
E01002717,33,89
E01002718,20,107
E01002719,25,171
E01002720,61,261
E01002721,11,110
E01002722,15,104
E01002723,38,201
E01002724,92,1097
E01002725,6,121
E01002726,25,377
E01002727,14,164
E01002728,23,240
E01002729,23,172
E01002730,47,331
E01002731,65,938
E01002732,24,234
E01002733,21,134
E01002734,27,444
E01002735,25,233
E01002736,14,94
E01002737,15,174
E01002738,16,150
E01002739,28,170
E01002740,41,302
E01002741,21,107
E01002742,35,110
E01002743,38,122
E01002744,30,147
E01002745,19,100
E01002747,17,151
E01002748,16,225
E01002749,18,87
E01002751,20,157
E01002752,16,93
E01002753,4,63
E01002754,36,120
E01002755,10,101
E01002756,17,103
E01002757,16,105
E01002758,10,151
E01002759,26,95
E01002760,6,111
E01002762,37,182
E01002763,29,198
E01002764,38,154
E01002765,20,225
E01002766,9,112
E01002767,10,107
E01002768,9,110
E01002769,21,117
E01002770,33,497
E01002771,15,105
E01002772,24,200
E01002773,5,77
E01002774,17,144
E01002775,22,109
E01002776,26,174
E01002777,25,114
E01002778,19,167
E01002779,30,189
E01002780,18,126
E01002781,16,96
E01002782,13,93
E01002783,22,175
E01002784,15,142
E01002785,37,221
E01002786,17,183
E01002787,9,104
E01002788,28,150
E01002789,35,131
E01002790,5,226
E01002791,29,205
E01002792,20,275
E01002793,27,290
E01002794,35,1242
E01002795,31,542
E01002796,7,86
E01002797,22,219
E01002798,42,203
E01002799,19,166
E01002800,14,128
E01002801,25,314
E01002802,25,163
E01002803,40,535
E01002804,10,162
E01002805,27,242
E01002806,14,102
E01002807,14,127
E01002808,32,169
E01002809,27,108
E01002810,30,208
E01002811,16,123
E01002812,9,68
E01002813,17,152
E01002814,15,223
E01002815,5,58
E01002816,6,129
E01002817,24,167
E01002818,33,620
E01002819,20,857
E01002820,29,378
E01002821,21,418
E01002822,12,149
E01002823,4,139
E01002824,19,65
E01002825,6,185
E01002826,14,314
E01002827,37,414
E01002828,21,107
E01002829,15,200
E01002830,18,223
E01002831,36,496
E01002832,15,297
E01002833,15,380
E01002834,24,108
E01002835,35,399
E01002836,15,162
E01002837,9,50
E01002838,8,118
E01002839,20,81
E01002840,6,107
E01002841,20,167
E01002842,4,38
E01002843,8,260
E01002844,23,143
E01002845,12,72
E01002846,18,123
E01002847,16,106
E01002848,14,100
E01002849,15,151
E01002850,20,298
E01002851,15,203
E01002852,22,379
E01002853,5,91
E01002854,9,204
E01002855,19,288
E01002856,23,282
E01002857,3,101
E01002858,5,150
E01002859,14,308
E01002860,15,150
E01002861,8,185
E01002862,3,51
E01002863,22,95
E01002864,8,150
E01002865,10,189
E01002866,17,133
E01002867,22,201
E01002868,13,92
E01002869,38,143
E01002870,9,130
E01002871,34,253
E01002872,21,110
E01002873,32,143
E01002874,18,105
E01002875,21,82
E01002876,29,126
E01002877,25,181
E01002878,18,174
E01002879,7,222
E01002880,8,96
E01002881,10,107
E01002882,24,163
E01002883,10,362
E01002884,38,511
E01002885,21,168
E01002886,31,204
E01002887,21,150
E01002888,6,112
E01002889,19,391
E01002890,16,92
E01002891,10,78
E01002892,16,119
E01002893,25,90
E01002894,15,148
E01002895,14,171
E01002896,32,143
E01002897,17,101
E01002898,11,100
E01002899,16,197
E01002900,8,89
E01002901,9,73
E01002902,13,305
E01002903,17,222
E01002904,5,55
E01002905,21,137
E01002906,22,221
E01002907,5,69
E01002908,17,120
E01002909,21,121
E01002910,10,76
E01002911,20,246
E01002912,13,256
E01002913,14,124
E01002914,34,307
E01002915,18,47
E01002916,15,45
E01002917,9,27
E01002918,11,52
E01002919,21,197
E01002920,9,30
E01002921,7,69
E01002922,9,42
E01002923,12,91
E01002924,2,11
E01002925,8,57
E01002926,6,41
E01002927,14,57
E01002928,11,92
E01002929,18,97
E01002930,23,268
E01002931,25,71
E01002932,11,113
E01002933,18,59
E01002934,7,45
E01002935,24,108
E01002937,17,62
E01002938,21,68
E01002939,16,117
E01002940,11,51
E01002941,15,112
E01002942,10,48
E01002943,10,51
E01002944,7,53
E01002945,10,51
E01002946,4,39
E01002947,7,46
E01002948,28,224
E01002949,7,57
E01002950,12,77
E01002951,8,40
E01002952,33,85
E01002953,16,73
E01002954,14,124
E01002955,16,52
E01002956,11,56
E01002957,20,109
E01002958,15,52
E01002959,20,42
E01002960,13,70
E01002961,8,57
E01002962,5,43
E01002963,16,52
E01002964,12,285
E01002965,27,174
E01002966,8,79
E01002967,12,53
E01002968,49,3014
E01002969,4,91
E01002970,10,106
E01002971,10,88
E01002972,19,176
E01002973,7,100
E01002974,28,121
E01002975,17,70
E01002976,9,19
E01002977,17,91
E01002978,10,67
E01002979,6,34
E01002980,14,34
E01002981,20,35
E01002982,19,63
E01002983,11,51
E01002984,7,53
E01002985,22,82
E01002986,14,54
E01002987,19,272
E01002988,13,85
E01002989,17,65
E01002990,11,71
E01002991,10,42
E01002992,7,39
E01002993,6,27
E01002994,9,26
E01002995,3,30
E01002996,10,43
E01002997,10,37
E01002998,8,51
E01002999,9,73
E01003000,19,94
E01003001,35,85
E01003002,6,94
E01003003,23,203
E01003004,9,53
E01003005,8,36
E01003006,7,56
E01003007,7,36
E01003008,14,35
E01003009,16,58
E01003010,19,70
E01003011,19,95
E01003013,32,947
E01003014,12,222
E01003015,25,97
E01003016,6,270
E01003017,17,356
E01003018,41,272
E01003019,35,167
E01003020,20,266
E01003021,19,160
E01003022,24,118
E01003023,24,216
E01003024,20,156
E01003025,23,120
E01003026,23,168
E01003027,23,99
E01003028,15,82
E01003029,39,121
E01003030,20,151
E01003031,12,91
E01003032,15,323
E01003033,10,100
E01003034,18,129
E01003035,34,927
E01003036,20,125
E01003037,22,217
E01003038,19,210
E01003039,26,391
E01003040,10,88
E01003041,16,426
E01003042,11,93
E01003043,19,97
E01003044,7,59
E01003045,7,167
E01003046,7,124
E01003047,44,1189
E01003048,11,216
E01003049,15,155
E01003050,20,246
E01003051,21,294
E01003052,14,367
E01003053,35,225
E01003054,26,231
E01003055,23,472
E01003056,29,119
E01003057,36,166
E01003058,37,174
E01003059,7,189
E01003060,11,172
E01003061,14,715
E01003062,21,270
E01003063,15,167
E01003064,27,120
E01003065,26,136
E01003066,28,220
E01003067,22,110
E01003068,25,157
E01003069,19,98
E01003070,18,126
E01003071,32,170
E01003072,28,108
E01003073,28,175
E01003074,42,417
E01003075,10,131
E01003076,32,399
E01003077,25,155
E01003078,27,99
E01003079,33,196
E01003080,31,98
E01003081,32,220
E01003082,34,126
E01003083,23,82
E01003084,17,91
E01003085,23,115
E01003086,18,162
E01003087,20,181
E01003088,12,135
E01003089,14,190
E01003090,31,524
E01003091,18,111
E01003092,12,148
E01003093,5,255
E01003094,6,73
E01003095,17,104
E01003096,28,304
E01003097,5,145
E01003098,13,120
E01003099,23,280
E01003100,18,218
E01003101,5,114
E01003102,30,506
E01003104,11,114
E01003105,13,120
E01003106,5,174
E01003107,26,167
E01003108,10,122
E01003109,24,774
E01003110,18,119
E01003111,7,89
E01003112,14,130
E01003113,39,166
E01003114,31,183
E01003115,29,127
E01003116,22,89
E01003117,30,209
E01003118,31,357
E01003119,40,195
E01003120,36,307
E01003121,3,61
E01003122,12,203
E01003123,16,155
E01003124,5,107
E01003125,6,125
E01003126,7,125
E01003127,24,238
E01003128,12,225
E01003129,19,176
E01003130,24,153
E01003131,25,161
E01003132,15,112
E01003133,30,134
E01003134,20,90
E01003135,13,119
E01003136,11,79
E01003137,16,137
E01003138,36,113
E01003139,27,120
E01003140,16,59
E01003141,30,135
E01003142,26,82
E01003143,5,87
E01003144,18,242
E01003145,34,143
E01003146,6,76
E01003147,29,126
E01003148,23,93
E01003149,31,104
E01003150,35,163
E01003151,19,139
E01003152,36,150
E01003153,24,214
E01003154,17,118
E01003155,18,130
E01003156,20,96
E01003157,34,101
E01003158,36,99
E01003159,17,81
E01003160,5,74
E01003161,15,88
E01003162,14,169
E01003163,16,79
E01003164,29,211
E01003165,19,115
E01003166,34,278
E01003167,29,129
E01003168,13,106
E01003169,47,233
E01003170,25,152
E01003171,21,135
