LSOAs,Mean_year_household_income,Median_year_household_income
E01032789,53697,40775
E01032790,58892,44715
E01001915,83518,63393
E01001916,89271,67757
E01001926,89936,68262
E01001952,60061,45601
E01001925,97121,73712
E01001934,44711,33951
E01001937,75539,57341
E01001938,43135,32751
E01001969,33951,27109
E01001971,26633,21324
E01001974,38696,30885
E01001975,38943,31082
E01002036,24717,19809
E01002037,24164,19372
E01002039,20110,16167
E01002040,27569,22064
E01001962,55057,43970
E01001970,31456,25137
E01001972,34164,27278
E01001973,44516,35540
E01002090,29747,23786
E01002093,25348,20308
E01002096,27027,21635
E01002097,27622,22105
E01002091,23756,19050
E01002092,26378,21122
E01002094,27541,22041
E01002095,27607,22094
E01002098,40743,32522
E01002101,34317,27398
E01002102,34258,27352
E01002105,31143,24889
E01002099,24478,19620
E01002100,29763,23799
E01002103,33325,26615
E01002104,32271,25781
E01001963,71991,57514
E01001964,58366,46617
E01001965,68950,55082
E01001966,75973,60698
E01002027,32607,26047
E01002028,32822,26217
E01002032,27977,22386
E01002033,29321,23449
E01001976,29083,23260
E01001977,27766,22220
E01001978,27321,21868
E01001979,25026,20054
E01002074,25391,20342
E01002077,23674,18985
E01002079,31081,24840
E01002081,22182,17805
E01002082,22581,18120
E01002086,29366,23484
E01002088,33480,26737
E01002089,20792,16706
E01001967,75039,59951
E01001968,62357,49809
E01001996,60257,48129
E01001997,61235,48911
E01002075,26607,21303
E01002076,26432,21165
E01002078,28241,22595
E01002080,31231,24959
E01002026,24696,19793
E01002029,29500,23591
E01002030,35565,28385
E01002031,32189,25716
E01001991,63585,50791
E01001992,80295,64155
E01001993,84510,67526
E01001995,43624,34826
E01001980,30592,24453
E01001981,30278,24205
E01001982,30900,24698
E01001983,34334,27412
E01002083,35954,28693
E01002084,33766,26963
E01002085,31465,25144
E01002087,31536,25200
E01002014,47056,37571
E01002015,38493,30722
E01002018,43250,34527
E01033085,35437,28284
E01033086,24724,19815
E01002020,55755,44528
E01002022,60680,48468
E01002023,68961,55090
E01002025,80198,64078
E01002013,61536,49152
E01002019,73427,58662
E01002021,72596,57998
E01002024,61065,48775
E01001998,42159,33655
E01001999,37262,29738
E01002003,29287,23422
E01002004,39026,31149
E01002067,27511,22018
E01002069,27744,22202
E01002070,31588,25241
E01002073,28336,22670
E01002066,26599,21297
E01002068,31116,24868
E01002071,24531,19662
E01002072,27472,21987
E01002043,31401,25093
E01002045,30175,24124
E01002046,28955,23160
E01002049,29786,23817
E01002042,34118,27242
E01002044,34938,27889
E01002047,35088,28008
E01002048,33464,26724
E01002016,48156,38451
E01002017,52407,41851
E01002059,48931,39071
E01002060,62141,49636
E01002050,38667,30862
E01002051,30135,24092
E01002052,36622,29226
E01002055,37807,30174
E01001994,65407,52248
E01002008,84722,67696
E01002010,62144,49638
E01002011,59737,47713
E01002000,42503,33929
E01002001,42996,34324
E01002002,35513,28345
E01002058,35721,28508
E01002053,28266,22615
E01002054,23816,19096
E01002056,30217,24157
E01002057,32245,25761
E01001984,58869,47019
E01001985,71925,57461
E01001987,77033,61546
E01001989,68369,54617
E01001986,63849,51002
E01001988,60858,48609
E01001990,58119,46419
E01002062,55795,44561
E01002005,63872,51020
E01002006,62864,50214
E01002007,70923,56659
E01002009,74406,59445
E01002061,60283,48150
E01002063,50120,40022
E01002064,37131,29633
E01002065,47393,37840
E01002034,22611,18144
E01002038,23173,18589
E01002041,26647,21335
E01032575,26185,20969
E01002755,41438,29763
E01002756,59032,42461
E01002758,36945,26487
E01002804,40787,29289
E01002807,40892,29365
E01002811,44362,31895
E01002753,41893,30095
E01002754,72448,52073
E01002757,52427,37729
E01002759,67035,48194
E01002760,37979,27241
E01002772,46020,33104
E01002735,44207,31782
E01002805,49644,35735
E01002806,55996,40286
E01002808,49333,35513
E01002809,45814,32954
E01002810,45175,32488
E01002768,48137,34648
E01002770,56909,40940
E01002771,49380,35546
E01002773,34078,24396
E01002774,48133,34645
E01002732,38104,27332
E01002734,32183,23014
E01002736,34285,24547
E01002737,35856,25693
E01002751,38866,27887
E01002742,83415,59929
E01002747,72560,52153
E01002748,44049,31667
E01002749,51668,37185
E01033493,84128,60440
E01033494,78930,56716
E01002730,46077,33146
E01002731,48037,34575
E01002733,65097,46806
E01002763,41819,30041
E01002769,61909,44522
E01002785,67136,48267
E01002788,64958,46706
E01002789,83387,59910
E01002738,64973,46717
