LSOAs,House_median_Prices
E01002042,310000
E01002044,385000
E01002047,208325
E01002048,295000
E01002016,300000
E01002017,308500
E01002059,499999
E01002060,405000
E01002050,313500
E01002051,321750
E01002052,395000
E01002055,406250
E01001994,310000
E01002008,1116634
E01002010,505000
E01002011,427500
E01002000,286000
E01002001,353500
E01002002,310000
E01002058,300000
E01002053,209500
E01002054,195000
E01002056,235000
E01002057,315000
E01001984,330000
E01001985,432740
E01001987,492500
E01001989,670000
E01001986,755000
E01001988,361250
E01001990,363750
E01002062,308475
E01002005,380000
E01002006,330000
E01002007,632500
E01002009,540000
E01002061,323000
E01002063,295000
E01002064,270000
E01002065,360000
E01002034,105000
E01002038,142000
E01002041,210000
E01032575,158000
E01002755,288750
E01002756,373750
E01002758,217500
E01002804,360000
E01002807,267500
E01002811,367000
E01002753,261000
E01002754,721250
E01002757,655000
E01002759,422500
E01002760,235000
E01002772,297500
E01002735,249995
E01002805,335000
E01002806,412500
E01002808,294475
E01002809,390000
E01002810,361250
E01002768,287500
E01002770,393500
E01002771,510000
E01002773,194950
E01002774,332475
E01002732,250000
E01002734,290000
E01002736,229250
E01002737,270000
E01002751,250000
E01002742,520000
E01002747,635000
E01002748,325000
E01002749,452500
E01033493,342500
E01033494,488000
E01002730,330000
E01002731,276000
E01002733,342500
E01002763,250000
E01002769,575000
E01002785,418000
E01002788,385000
E01002789,395000
E01002738,480000
E01002741,255000
E01002743,465000
E01002744,483750
E01002752,400000
E01002764,320500
E01002783,320000
E01002784,300498
E01002786,326500
E01002787,205000
E01002762,405000
E01002767,380000
E01033486,427500
E01033487,343750
E01033488,487500
E01033491,343000
E01033492,345000
E01002777,425000
E01002778,250000
E01002779,350000
E01002781,377950
E01002782,345000
E01002739,545000
E01002740,430000
E01002745,542500
E01002795,499950
E01002796,359500
E01002716,280000
E01002718,440000
E01002721,487500
E01002775,505500
E01002776,385000
E01002780,400000
E01002708,345000
E01002712,381250
E01002713,235000
E01002765,223000
E01002766,212500
E01002717,395000
E01002719,584500
E01002720,306500
E01002790,660000
E01002791,545140
E01002793,351000
E01002698,435000
E01002699,596475
E01002700,620000
E01002714,340000
E01002792,555000
E01002722,327000
E01002797,364500
E01002798,650000
E01002799,320000
E01002800,1080000
E01002694,287500
E01002697,276000
E01002709,322000
E01002710,398875
E01002715,265000
E01002696,420000
E01002794,600000
E01002801,638000
E01002802,605000
E01002803,505000
E01002695,425000
E01002711,440000
E01002727,557500
E01002728,482500
E01002729,465475
E01002707,330000
E01002723,335975
E01002724,470000
E01002725,390000
E01002726,399950
E01033489,505000
E01033490,359500
E01002701,407500
E01002702,345500
E01002703,467500
E01002704,470000
E01002706,385000
E01002852,265000
E01002853,1030000
E01002854,320000
E01002855,347500
E01002857,166250
E01002904,.
E01002905,325500
E01002906,527140
E01002907,.
E01002876,1200000
E01002877,654500
E01002878,395000
E01002908,590000
E01002909,430000
E01002829,550000
E01002830,625000
E01002831,540000
E01002832,837500
E01002856,420000
E01002870,380000
E01002872,962500
E01002879,387500
E01002880,190000
E01002881,1080000
E01002882,900000
E01002883,740000
E01002884,840000
E01002885,780000
E01002886,967500
E01002833,693750
E01002871,1750000
E01002873,580000
E01002874,460000
E01002875,843449
E01002824,900000
E01002825,1100000
E01002826,665000
E01002827,1750000
E01002828,1380000
E01002864,2175000
E01002866,525000
E01002867,657500
E01002868,1750000
E01002869,462000
E01002887,885000
E01002889,1225000
E01002890,2017500
E01002891,1127500
E01002892,999999
E01002813,1400000
E01002815,615000
E01002816,1450000
E01002817,1322500
E01002865,1775000
E01002818,1263500
E01002819,1100000
E01002859,1400000
E01002860,2000000
E01002863,1522500
E01002812,825000
E01002834,740000
E01002839,780000
E01002850,850000
E01002888,910000
E01002821,1004000
E01002823,1850000
E01002858,435000
E01002861,1284400
E01002862,250000
E01002814,689500
E01002847,512500
E01002848,530000
E01002851,505000
E01002820,955000
E01002822,1800500
E01002835,1050000
E01002836,842500
E01002837,1400000
E01002846,460000
E01002849,675000
E01002893,560000
E01002894,570000
E01002898,985000
E01002899,599000
E01002900,1585000
E01002901,950000
E01002902,850000
E01002903,3377000
E01002844,1185000
E01002845,747500
E01002910,905000
E01002911,2712500
E01002914,1130000
E01002838,1026000
E01002895,1237500
E01002896,765000
E01002897,400000
E01002912,765000
E01002840,495000
E01002841,680000
E01002842,299950
E01002843,472500
E01002913,732500
E01003015,258475
E01003108,225000
E01003110,357500
E01003111,252075
E01003112,353000
E01003101,235000
E01003105,260000
E01003106,378000
E01003107,470000
E01003109,355000
E01003102,367000
E01003104,310500
E01003122,370000
E01003129,290000
E01033207,295000
E01033208,600000
E01003098,670000
E01003099,247500
E01003100,271250
E01003180,347500
E01003183,394620
E01003097,248750
E01003121,215000
E01003123,346000
E01003124,231000
E01003125,191000
E01003181,295000
E01003184,205000
E01003185,305000
E01003186,332500
E01003187,220000
E01003089,207000
E01003091,245000
E01003092,260000
E01003126,215000
E01003128,205000
E01003046,195000
E01003048,147000
E01003075,360000
E01003182,274750
E01003188,200000
E01003088,389000
E01003093,228750
E01003094,436250
E01003096,317500
E01003127,378000
E01003045,193750
E01003047,256500
E01003049,258250
E01003059,190000
E01003060,174000
E01003061,267000
E01003034,255000
E01003035,358000
E01003036,359754
E01003090,381500
E01003095,335000
E01003037,355000
E01003038,475000
E01003039,407500
E01003040,340000
E01003042,310000
E01003072,550000
E01003073,374750
E01003076,230000
E01003077,250000
E01003078,360000
E01003019,360000
E01003053,406500
E01003054,375000
E01003056,339563
E01003058,312500
E01003020,338500
E01003050,292475
E01003052,188000
E01003055,291250
E01003176,187475
E01003029,350000
E01003032,305264
E01003041,242000
E01003057,340000
E01003043,371000
E01003044,212000
E01003051,272500
E01003071,401625
E01003074,327500
E01003026,490000
E01003027,892500
E01003028,380000
E01003030,348500
E01003033,755000
E01003018,285000
E01003171,247000
E01003173,305000
E01003177,342500
E01003178,342750
E01003021,290000
E01003022,250000
E01003023,250000
E01003024,164500
E01003025,245000
E01003136,187500
E01003137,161500
E01003159,223750
E01003160,675000
E01003162,184975
E01003031,420000
E01003156,369000
E01003157,636278
E01003158,412500
E01003161,627000
E01003163,400000
E01003132,204500
E01003172,196000
E01003174,220000
E01003175,215000
E01003179,198500
E01003164,245000
E01003165,387500
E01003168,249000
E01003169,285000
E01003170,400500
E01003130,227000
E01003131,322500
E01003135,265000
E01003138,365000
E01003151,200750
E01003079,192000
