LSOAs,individual_household,All_households,percent_indi_house
E01000958,28.4,835,28.4
E01000959,37.8,698,37.8
E01000929,35.8,685,35.8
E01000930,58.4,1076,58.4
E01000933,41.4,821,41.4
E01000934,46.2,732,46.2
E01000935,38.6,624,38.6
E01000863,38.2,667,38.2
E01000946,43.6,715,43.6
E01000947,39.5,871,39.5
E01000948,42.8,846,42.8
E01000952,30.5,675,30.5
E01000953,42.2,708,42.2
E01000954,31.5,642,31.5
E01000955,44.6,657,44.6
E01000956,36.3,608,36.3
E01000944,28.2,667,28.2
E01000945,36.5,611,36.5
E01000949,44.8,739,44.8
E01000950,34.9,550,34.9
E01000951,38.1,603,38.1
E01000936,36.2,536,36.2
E01000938,41.4,737,41.4
E01000939,35,446,35
E01000940,47.4,534,47.4
E01000853,55.8,840,55.8
E01000937,59,502,59
E01000941,43.4,557,43.4
E01000942,55.5,686,55.5
E01000943,60.2,596,60.2
E01000850,48.8,664,48.8
E01000851,49.1,861,49.1
E01000852,62.1,625,62.1
E01000854,43.2,718,43.2
E01000915,38.9,635,38.9
E01000916,44.5,881,44.5
E01000917,50.2,913,50.2
E01000920,43.2,946,43.2
E01000855,67.5,1111,67.5
E01000914,49.8,970,49.8
E01000918,51.6,935,51.6
E01000919,52,834,52
E01000001,51.7,876,51.7
E01000002,50.4,830,50.4
E01000003,62.1,817,62.1
E01000005,48.8,467,48.8
E01032739,60.5,676,60.5
E01032740,63.6,719,63.6
E01001808,26.9,558,26.9
E01001809,30.3,610,30.3
E01001814,27.2,559,27.2
E01001823,27.3,538,27.3
E01001825,22,428,22
E01001714,35.9,632,35.9
E01001811,39,646,39
E01001813,35.8,525,35.8
E01033701,36.6,760,36.6
E01001799,24.5,485,24.5
E01001802,34.8,471,34.8
E01001804,22,464,22
E01001807,35.8,693,35.8
E01001812,33.4,614,33.4
E01001725,26.9,573,26.9
E01001726,23.7,464,23.7
E01001800,41.5,643,41.5
E01001824,31,539,31
E01001826,31.3,585,31.3
E01001723,27.1,671,27.1
E01001724,39.4,980,39.4
E01001727,24.4,573,24.4
E01001768,26.8,719,26.8
E01001769,34.4,662,34.4
E01001715,40.7,673,40.7
E01001716,45.8,633,45.8
E01001717,23,427,23
E01001718,34.5,824,34.5
E01001719,34.3,484,34.3
E01001720,32.6,785,32.6
E01001742,34.9,789,34.9
E01001801,37.9,588,37.9
E01001803,30.2,719,30.2
E01001806,37.1,714,37.1
E01001741,28.5,599,28.5
E01001805,31.4,510,31.4
E01001829,26.9,696,26.9
E01001831,33,745,33
E01001832,31.8,642,31.8
E01001764,36.4,696,36.4
E01001765,45,722,45
E01001767,28.2,628,28.2
E01001770,42.3,784,42.3
E01033703,41.4,625,41.4
E01033713,39.4,601,39.4
E01001792,29,620,29
E01001793,30.5,656,30.5
E01001794,27.7,656,27.7
E01001795,31.7,571,31.7
E01001796,42.3,737,42.3
E01001736,32.7,707,32.7
E01001737,28.1,754,28.1
E01001738,35.7,785,35.7
E01001739,33.3,898,33.3
E01001786,35,717,35
E01001787,36.3,628,36.3
E01001788,42.1,670,42.1
E01001790,30.1,492,30.1
E01001740,31.7,624,31.7
E01001747,32.7,943,32.7
E01001830,44.5,932,44.5
E01001833,34.7,931,34.7
E01001834,29.9,862,29.9
E01001835,25.5,483,25.5
E01001733,31.5,701,31.5
E01001785,27.6,569,27.6
E01001789,29.1,646,29.1
E01001791,22.4,500,22.4
E01001745,36.1,958,36.1
E01001746,27.8,632,27.8
E01001757,26.8,654,26.8
E01001758,36.3,884,36.3
E01001759,35.7,750,35.7
E01001761,46.4,869,46.4
E01001731,42.3,1033,42.3
E01001734,40,849,40
E01001760,32.4,765,32.4
E01001762,37,820,37
E01001846,39.8,535,39.8
E01001847,34.3,467,34.3
E01001848,38.3,655,38.3
E01001849,33.5,977,33.5
E01001729,38.8,863,38.8
E01001730,38,801,38
E01001732,33.2,696,33.2
E01001735,31.6,661,31.6
E01001838,35.2,705,35.2
E01001850,30.2,676,30.2
E01001748,40.8,1090,40.8
E01001749,32.8,743,32.8
E01001763,37.9,742,37.9
E01001816,28.4,640,28.4
E01001819,33.8,684,33.8
E01001744,33.5,786,33.5
E01001750,30.4,782,30.4
E01001751,29,676,29
E01001756,34.5,987,34.5
E01033698,47.8,613,47.8
E01033699,39.1,585,39.1
E01033700,35,697,35
E01033707,41,614,41
