LSOAs,individual_household,All_households,percent_indi_house
E01003250,32.1,763,32.1
E01003246,32,559,32
E01003248,40,718,40
E01003251,28.3,777,28.3
E01003252,32.6,613,32.6
E01003253,40.2,669,40.2
E01003297,43.9,767,43.9
E01003299,24.6,609,24.6
E01003301,26.5,767,26.5
E01003302,44.5,710,44.5
E01003305,34.7,513,34.7
E01003207,42,615,42
E01003209,35.5,778,35.5
E01003210,42.7,850,42.7
E01003212,34.3,867,34.3
E01003215,32.4,666,32.4
E01003338,41.5,771,41.5
E01003339,35,763,35
E01003340,31.2,797,31.2
E01003341,23.2,581,23.2
E01003343,38.2,626,38.2
E01003199,34.3,801,34.3
E01003201,34.1,680,34.1
E01003204,31.7,603,31.7
E01003205,31.3,502,31.3
E01003206,31.1,698,31.1
E01003211,40.6,753,40.6
E01003213,33.9,813,33.9
E01003214,33.4,745,33.4
E01033324,30.1,642,30.1
E01033325,42.1,706,42.1
E01003198,33,639,33
E01003200,38.6,756,38.6
E01003202,37.7,764,37.7
E01003203,54,980,54
E01003336,35.4,577,35.4
E01003337,28.8,600,28.8
E01003342,26.8,702,26.8
E01003344,30.6,719,30.6
E01003345,29.2,719,29.2
E01003273,23,666,23
E01003277,35.6,778,35.6
E01003278,35.3,805,35.3
E01003279,27.4,654,27.4
E01003288,42.8,794,42.8
E01003290,38.2,725,38.2
E01003291,38.4,682,38.4
E01003296,45.1,1021,45.1
E01033327,37.6,679,37.6
E01033341,31.4,551,31.4
E01003282,35.7,1047,35.7
E01003283,36.3,923,36.3
E01003284,29.5,748,29.5
E01003286,43.6,786,43.6
E01003272,30.7,798,30.7
E01003274,32.2,721,32.2
E01003275,33,640,33
E01003276,22.9,700,22.9
E01003225,19.5,590,19.5
E01003231,34.6,687,34.6
E01003232,23.6,649,23.6
E01003233,25.6,669,25.6
E01003280,27.8,651,27.8
E01003281,29.5,601,29.5
E01003285,40,767,40
E01003287,29,797,29
E01003292,33.3,702,33.3
E01003293,35.7,676,35.7
E01003295,32.3,653,32.3
E01033320,37.8,645,37.8
E01033322,36.4,594,36.4
E01003319,37.6,752,37.6
E01003320,37.1,650,37.1
E01003323,35.6,624,35.6
E01003325,33,722,33
E01003226,26.9,709,26.9
E01003227,30.4,678,30.4
E01003228,30.3,673,30.3
E01003229,43.5,742,43.5
E01003230,36,866,36
E01003317,26.3,688,26.3
E01003318,43.7,705,43.7
E01003321,37.9,810,37.9
E01003322,36.3,593,36.3
E01003324,47.8,713,47.8
E01003254,29.9,602,29.9
E01003255,43.9,964,43.9
E01003260,22.6,681,22.6
E01003261,29.2,619,29.2
E01003262,35.3,624,35.3
E01003217,25.4,622,25.4
E01003218,23.7,539,23.7
E01003220,32.6,604,32.6
E01003222,30.8,629,30.8
E01003224,26.2,626,26.2
E01003263,38.2,739,38.2
E01003268,35.2,718,35.2
E01003269,29.7,647,29.7
E01003270,31.6,678,31.6
E01003271,18.4,637,18.4
E01003307,28.7,627,28.7
E01003308,32,734,32
E01003314,29.7,683,29.7
E01003315,37.1,599,37.1
E01003316,28.2,609,28.2
E01003216,33.5,689,33.5
E01003219,31.1,631,31.1
E01003221,32.6,769,32.6
E01003223,23.5,603,23.5
E01003346,30.1,598,30.1
E01003349,28.8,541,28.8
E01003351,31.6,592,31.6
E01003354,37.7,701,37.7
E01003309,40.2,645,40.2
E01003310,41.3,756,41.3
E01003311,24.6,605,24.6
E01003312,37.2,779,37.2
E01003313,34,670,34
E01003256,36.2,931,36.2
E01003257,38.9,735,38.9
E01003258,32.8,594,32.8
E01003259,35.7,756,35.7
E01003193,36,666,36
E01003194,37.6,716,37.6
E01003195,32.3,637,32.3
E01003196,29.2,624,29.2
E01003197,30.6,625,30.6
E01003347,23.2,638,23.2
E01003348,29.9,571,29.9
E01003350,23.5,519,23.5
E01003352,33.5,735,33.5
E01003353,25.5,632,25.5
E01003264,39,728,39
E01003265,34.3,680,34.3
E01003266,39.9,757,39.9
E01003267,27.8,598,27.8
E01003329,30.2,666,30.2
E01003330,32,662,32
E01003331,34.6,572,34.6
E01003332,38.4,679,38.4
E01003334,43.1,778,43.1
E01003189,29.6,624,29.6
E01003190,32.8,809,32.8
E01003191,37.6,665,37.6
E01003192,43.3,741,43.3
E01003326,38.9,638,38.9
E01003327,31.1,714,31.1
E01003328,42.7,833,42.7
E01003333,38.5,657,38.5
E01003335,35.5,594,35.5
E01003236,29,648,29
E01003237,29.4,608,29.4
E01003238,28.3,565,28.3
E01003239,30.5,564,30.5
E01032564,28.9,508,28.9
E01003235,36.1,523,36.1
E01003240,27.4,725,27.4
E01003241,43.9,695,43.9
E01003243,36.8,581,36.8
E01032565,45.3,644,45.3
E01003298,28.6,475,28.6
E01003300,33.5,561,33.5
E01003303,34.8,560,34.8
E01003304,43.6,903,43.6
E01032579,46,711,46
E01003543,26.8,850,26.8
E01003544,25.5,664,25.5
E01003546,21.9,588,21.9
E01003550,27.4,631,27.4
E01003576,37,710,37
E01003581,13.2,486,13.2
E01003582,21,499,21
E01003583,18.9,539,18.9
E01003578,23.3,601,23.3
E01003584,24.1,638,24.1
E01003586,19.3,509,19.3
E01003590,39,572,39
E01003579,19,499,19
E01003585,13.3,407,13.3
E01003587,23.1,823,23.1
E01003591,23.2,671,23.2
E01003528,26,431,26
E01003575,20,491,20
E01003577,31.2,673,31.2
E01003580,26.8,615,26.8
E01003545,34.3,644,34.3
E01003548,29.2,852,29.2
E01003549,29.2,790,29.2
E01003557,32.7,651,32.7
E01003547,28.2,699,28.2
E01003555,22.8,500,22.8
E01003561,15.8,481,15.8
E01003567,21.7,540,21.7
E01003556,34.7,629,34.7
E01003558,27.3,491,27.3
E01003570,24.4,585,24.4
E01003571,15.4,586,15.4
E01003572,14.1,446,14.1
E01003551,23.5,586,23.5
E01003553,31.8,733,31.8
E01003554,26.2,623,26.2
E01003559,27.1,1001,27.1
E01003529,11.9,597,11.9
E01003530,13.5,468,13.5
E01003531,15.5,516,15.5
E01003532,15.4,513,15.4
E01003534,16.5,643,16.5
E01003533,21,482,21
E01003560,12.1,448,12.1
E01003563,14.9,538,14.9
E01003588,16.3,454,16.3
E01003589,19.1,512,19.1
E01003616,33.3,658,33.3
E01003617,31.8,1103,31.8
E01003618,27,823,27
E01003619,46,1087,46
E01003615,30,643,30
E01033578,32.7,603,32.7
E01033579,34,618,34
E01033583,30.4,1205,30.4
E01033586,35.5,597,35.5
E01003562,14.9,576,14.9
E01003564,17.9,672,17.9
E01003565,17.7,496,17.7
E01003566,22.9,507,22.9
E01003625,19.4,484,19.4
E01003626,13.6,420,13.6
E01003627,16.9,432,16.9
E01003628,8.6,420,8.6
E01003629,19.3,481,19.3
E01003552,23.7,544,23.7
E01003596,27,577,27
E01003597,26.1,475,26.1
E01003635,20.9,611,20.9
E01003568,15.5,594,15.5
E01003569,15.3,509,15.3
E01003573,16.1,542,16.1
E01003574,25.6,798,25.6
E01003520,22.8,583,22.8
E01003521,16.1,623,16.1
E01003522,17.5,550,17.5
E01003525,16.6,519,16.6
E01003526,24.5,550,24.5
E01003488,35.4,669,35.4
E01003489,18.8,520,18.8
E01003490,21.7,539,21.7
E01003524,23.7,598,23.7
E01003631,31.2,727,31.2
E01003632,23.4,749,23.4
E01003633,36.2,685,36.2
E01003634,25.2,602,25.2
E01003636,29.5,702,29.5
E01003598,31.6,658,31.6
E01003600,34.9,690,34.9
E01003630,32.6,731,32.6
E01003637,24.6,593,24.6
E01003491,30.8,637,30.8
E01003592,24,555,24
E01003599,25.6,488,25.6
E01003606,23.4,675,23.4
E01003535,27.4,548,27.4
E01003536,21.7,598,21.7
E01003621,12.7,442,12.7
E01003622,24.8,496,24.8
E01003623,15.9,490,15.9
E01003523,28.8,669,28.8
E01003527,22.6,570,22.6
E01003537,23.4,668,23.4
E01003542,25.9,668,25.9
E01003624,20.1,493,20.1
E01003492,18.1,536,18.1
E01003493,27,732,27
E01003494,18.9,645,18.9
E01003495,19.4,650,19.4
E01003594,20.7,540,20.7
E01003595,39.4,581,39.4
E01003602,20.2,605,20.2
E01003607,20.5,560,20.5
E01003496,37.9,591,37.9
E01003498,32.3,674,32.3
E01003500,26.5,732,26.5
E01003593,32.7,559,32.7
E01003601,25.2,705,25.2
E01003603,18.3,624,18.3
E01003605,31.4,724,31.4
E01003608,23,714,23
E01003538,26.2,652,26.2
E01003539,19.5,681,19.5
E01003540,22,595,22
E01003541,18.4,570,18.4
E01003499,35.7,862,35.7
E01003501,25.6,715,25.6
E01003502,32.4,669,32.4
E01003503,37.4,647,37.4
E01003507,36.4,807,36.4
E01003508,27.2,555,27.2
E01003509,33.7,795,33.7
E01003604,21.5,785,21.5
E01003483,24.8,492,24.8
E01003484,21.6,566,21.6
E01003516,29.8,652,29.8
E01003518,27.7,588,27.7
E01003519,22.5,484,22.5
E01003480,33.4,662,33.4
E01003482,29.1,1033,29.1
E01003486,35.6,455,35.6
E01003487,29.5,424,29.5
E01003497,27.8,622,27.8
E01003506,25.6,489,25.6
E01033574,41.6,579,41.6
E01033575,39.1,545,39.1
E01033576,38.2,618,38.2
E01033584,26.4,564,26.4
E01033585,34,954,34
E01003479,29.6,612,29.6
E01003481,31.8,500,31.8
E01003485,24.8,560,24.8
E01003513,22.6,558,22.6
E01003511,18.4,452,18.4
E01003512,30.1,678,30.1
E01003514,26.5,532,26.5
E01003515,40.7,755,40.7
E01003517,26.6,605,26.6
E01003609,27.3,1058,27.3
E01003611,35.3,700,35.3
E01033577,27.5,608,27.5
E01033580,26.4,659,26.4
E01033581,34.6,714,34.6
E01033582,34.1,631,34.1
E01004029,30.4,819,30.4
E01004032,24.2,714,24.2
E01004053,35,877,35
E01004054,30.9,782,30.9
E01004055,28.5,513,28.5
E01003927,38.6,995,38.6
E01003929,39.5,1074,39.5
E01003934,51.8,811,51.8
E01003935,43,451,43
E01003939,35.8,836,35.8
E01003976,35.7,916,35.7
E01004027,36.1,993,36.1
E01032637,43.4,641,43.4
E01032638,41.7,653,41.7
E01032640,37.6,672,37.6
E01032646,30.8,737,30.8
E01032803,29.5,658,29.5
E01032834,47,666,47
E01003975,32.4,667,32.4
E01003978,38.8,908,38.8
E01004022,35.3,1146,35.3
E01004023,40.7,703,40.7
E01004028,37.6,713,37.6
E01003938,34.7,790,34.7
E01003940,36.8,620,36.8
E01003941,33.2,912,33.2
E01003942,31.4,561,31.4
E01003979,40.3,809,40.3
E01003981,40.8,693,40.8
E01004030,42.8,726,42.8
E01004031,31.8,880,31.8
E01004033,40.5,699,40.5
E01004034,31.2,635,31.2
E01004036,29.8,806,29.8
E01004056,31.6,906,31.6
E01004057,32,668,32
E01004058,34.9,855,34.9
E01004059,29,662,29
E01004060,31.5,785,31.5
E01003936,28.1,552,28.1
E01003937,34.2,734,34.2
E01003943,32.8,549,32.8
E01032720,32.2,681,32.2
E01003977,43.5,800,43.5
E01004037,35.2,878,35.2
E01004038,26.3,920,26.3
E01004042,37.9,762,37.9
E01004043,35.4,599,35.4
E01003986,40.4,549,40.4
E01003987,34.7,754,34.7
E01004024,43.7,819,43.7
E01004035,35.4,687,35.4
E01003960,30,766,30
E01003961,41.2,897,41.2
E01003994,35.4,622,35.4
E01032722,34.2,932,34.2
E01003980,45,847,45
E01004039,30.3,633,30.3
E01004040,33.8,680,33.8
E01004041,36.1,699,36.1
E01004044,33.3,556,33.3
E01003992,29.8,590,29.8
E01003995,49.9,738,49.9
E01003998,39.6,632,39.6
E01003999,30.9,602,30.9
E01032639,28.2,688,28.2
E01032719,46.7,623,46.7
E01003964,29.9,730,29.9
E01003966,27,745,27
E01003968,32.8,525,32.8
E01003971,21.4,608,21.4
E01003974,35.2,489,35.2
E01003963,32.8,662,32.8
E01003967,23.3,600,23.3
E01003970,34.9,579,34.9
E01003972,36,714,36
E01003973,36.9,739,36.9
E01003923,32.9,730,32.9
E01003969,30.6,764,30.6
E01003991,42.6,559,42.6
E01003993,28.3,630,28.3
E01003997,29.2,472,29.2
E01003983,26.6,730,26.6
E01003988,38.1,898,38.1
E01003989,29.7,720,29.7
E01003990,27,769,27
E01004007,25.7,436,25.7
E01003912,25.9,571,25.9
E01004011,21.5,724,21.5
E01004012,27.5,934,27.5
E01004013,24.4,606,24.4
E01004014,33.8,710,33.8
E01003911,25.3,742,25.3
E01003916,30.5,830,30.5
E01003917,42.7,787,42.7
E01003918,37.4,653,37.4
E01003925,33.8,527,33.8
E01003919,33.5,702,33.5
E01003920,36.9,766,36.9
E01003921,47.3,673,47.3
E01003922,35.2,821,35.2
E01003924,34.2,802,34.2
E01003926,29.8,540,29.8
E01004008,29.7,808,29.7
E01004010,29.8,601,29.8
E01004067,31.6,831,31.6
E01032805,30.6,940,30.6
E01003984,38.4,856,38.4
E01004003,40,755,40
E01004004,36.2,1069,36.2
E01004005,37.4,882,37.4
E01004006,30.4,772,30.4
E01003913,35.6,800,35.6
E01003914,29.2,722,29.2
E01003915,35.5,811,35.5
E01004050,33.6,652,33.6
E01004052,35.2,798,35.2
E01004061,36.8,772,36.8
E01004062,34.8,830,34.8
E01004063,34.7,847,34.7
E01004065,26.9,625,26.9
E01004066,29.5,844,29.5
E01004000,38.1,839,38.1
E01004001,38.6,718,38.6
E01004019,29.1,912,29.1
E01004064,33.3,808,33.3
E01004068,39.6,829,39.6
E01004045,29.1,601,29.1
E01004047,28.3,607,28.3
E01004048,27.6,645,27.6
E01004049,23.5,507,23.5
E01004051,34.6,613,34.6
E01003953,38.5,980,38.5
E01003955,36.3,822,36.3
E01004015,36.2,690,36.2
E01004021,37,1032,37
E01004046,28.3,674,28.3
E01004002,27.2,639,27.2
E01004016,26.1,934,26.1
E01004017,25.7,627,25.7
E01004020,33,730,33
E01003952,26.6,692,26.6
E01003954,28.5,670,28.5
E01003956,27.5,720,27.5
E01004071,30.5,663,30.5
E01004072,19.3,617,19.3
E01004069,17.9,497,17.9
E01004070,26.8,779,26.8
E01004073,22.6,736,22.6
E01004074,18.5,631,18.5
E01004075,20.5,657,20.5
E01003949,35.6,871,35.6
E01003950,32.6,798,32.6
E01003957,26.1,714,26.1
E01003958,29.8,699,29.8
E01004018,24.1,780,24.1
E01003945,29.6,730,29.6
E01003946,29.2,726,29.2
E01003947,29.1,612,29.1
E01003948,38.3,742,38.3
E01003951,28,571,28
E01003930,40.4,458,40.4
E01003932,41.5,651,41.5
E01003933,30.5,537,30.5
E01032583,41.1,644,41.1
E01032584,36.2,577,36.2
E01004222,38.4,1048,38.4
E01004223,37.8,938,37.8
E01004224,31,806,31
E01004226,30,676,30
E01004197,35.1,964,35.1
E01004198,40.1,606,40.1
E01004199,32.6,574,32.6
E01004201,34.9,619,34.9
E01004228,32,769,32
E01004230,28.6,803,28.6
E01004232,26.4,603,26.4
E01004233,40.7,751,40.7
E01004234,27.8,903,27.8
E01004225,38,1147,38
E01004229,29.6,551,29.6
E01004231,27.3,629,27.3
E01032764,37.8,643,37.8
E01032765,33.3,645,33.3
E01032784,30.9,692,30.9
E01004200,30.3,585,30.3
E01004202,32.3,713,32.3
E01004203,28.2,689,28.2
E01004204,39.5,631,39.5
E01004311,37.9,644,37.9
E01004314,33.5,493,33.5
E01004315,39.1,718,39.1
E01004318,40.3,630,40.3
E01004259,41.1,812,41.1
E01004260,26.4,636,26.4
E01004263,31.2,529,31.2
E01004266,30.2,583,30.2
E01004235,33.5,513,33.5
E01004236,23.3,497,23.3
E01004237,39.5,506,39.5
E01004238,32.6,1058,32.6
E01004239,26.1,533,26.1
E01004312,37.6,628,37.6
E01004313,30.4,812,30.4
E01004316,34.9,455,34.9
E01004317,34.1,1193,34.1
E01004261,31.8,550,31.8
E01004262,34.3,495,34.3
E01004264,21,457,21
E01032785,29.4,616,29.4
E01032786,39.9,674,39.9
E01004207,36.7,515,36.7
E01004209,33,466,33
E01004212,44.2,720,44.2
E01032787,26.2,793,26.2
E01004240,23.7,574,23.7
E01004241,32.5,570,32.5
E01004242,29.4,898,29.4
E01004267,34.8,707,34.8
E01004268,36,688,36
E01004205,29.2,688,29.2
E01004206,40.1,554,40.1
E01004208,35.5,788,35.5
E01004211,43.8,720,43.8
E01004269,34.3,726,34.3
E01004270,20.8,745,20.8
E01004271,28.8,548,28.8
E01004272,26,639,26
E01004273,25.3,594,25.3
E01004306,29.8,687,29.8
E01004307,46.4,1014,46.4
E01004308,29.4,504,29.4
E01004309,35.8,902,35.8
E01004310,40.4,793,40.4
E01004283,34.1,756,34.1
E01004287,35.8,854,35.8
E01004289,35.2,670,35.2
E01004290,40,575,40
E01004322,41.2,502,41.2
E01004323,29.6,480,29.6
E01004324,27.4,485,27.4
E01004326,38.5,623,38.5
E01004245,21.2,433,21.2
E01004246,31.6,747,31.6
E01004248,30.4,441,30.4
E01004249,34.4,758,34.4
E01004284,35.7,884,35.7
E01004285,24.6,658,24.6
E01004286,31.7,817,31.7
E01004288,28.4,525,28.4
E01004243,27.4,614,27.4
E01004244,37.5,686,37.5
E01004247,32.2,714,32.2
E01004250,31.1,866,31.1
E01004319,26.9,595,26.9
E01004321,44.3,711,44.3
E01004325,27.5,1033,27.5
E01032766,36.9,601,36.9
E01032767,38.1,767,38.1
E01004298,37.6,635,37.6
E01004300,39.3,522,39.3
E01004304,30,653,30
E01004305,31.2,699,31.2
E01004251,33.6,779,33.6
E01004254,34.1,1046,34.1
E01004255,38.6,647,38.6
E01004258,38.3,713,38.3
E01004252,35.1,1107,35.1
E01004253,29.4,829,29.4
E01004256,27.8,611,27.8
E01004257,23.5,618,23.5
E01004301,27.6,413,27.6
E01004302,27.3,637,27.3
E01004303,37,967,37
E01032768,39.7,696,39.7
E01032769,36.8,593,36.8
E01004292,37.8,818,37.8
E01004294,45.7,877,45.7
E01004295,26.8,500,26.8
E01004296,39.2,684,39.2
E01004291,50.7,1051,50.7
E01004293,46.1,1133,46.1
E01004297,40,909,40
E01004215,34.9,1168,34.9
E01004219,30.3,851,30.3
E01004221,31.2,802,31.2
E01032776,50.2,631,50.2
E01032777,34.6,514,34.6
E01032778,36.3,564,36.3
E01032779,38.9,565,38.9
E01032780,30,647,30
E01004214,37.9,665,37.9
E01004216,31.9,737,31.9
E01004217,38.9,779,38.9
E01004218,29.4,731,29.4
E01004274,24.3,654,24.3
E01004275,28.4,768,28.4
E01004276,34.3,996,34.3
E01004281,36.9,831,36.9
E01032775,40.8,600,40.8
E01032783,41.6,661,41.6
E01004280,32.8,769,32.8
E01032770,37.1,572,37.1
E01032772,51.7,544,51.7
E01032773,47.8,852,47.8
E01032774,36.2,583,36.2
E01004277,40.4,898,40.4
E01032771,43.8,546,43.8
E01032781,35.1,771,35.1
E01032782,46.9,776,46.9
E01004560,38.1,959,38.1
E01004566,45.8,821,45.8
E01004582,33.9,976,33.9
E01004583,42.9,876,42.9
E01004562,37.7,754,37.7
E01004563,39,879,39
E01004564,31.7,820,31.7
E01004567,32.5,982,32.5
E01033098,56,629,56
E01033100,43.3,612,43.3
E01033132,55.6,619,55.6
E01004539,30.8,800,30.8
E01004540,41.5,1002,41.5
E01004577,37.8,907,37.8
E01004584,32.3,703,32.3
E01004579,37,744,37
E01004580,32.2,892,32.2
E01004581,39.8,892,39.8
E01033099,35.7,456,35.7
E01033101,41.5,663,41.5
E01033133,39.5,636,39.5
E01004565,31.7,815,31.7
E01004590,36.9,807,36.9
E01004591,34.9,811,34.9
E01004592,37.6,795,37.6
E01004604,16.4,593,16.4
E01004605,34.1,785,34.1
E01004606,29.7,754,29.7
E01004607,28.3,718,28.3
E01004608,34.3,785,34.3
E01004535,33.2,731,33.2
E01004537,34.5,799,34.5
E01004538,38.7,909,38.7
E01004541,42.1,762,42.1
E01004534,30.4,825,30.4
E01004536,34.9,928,34.9
E01004552,27.6,913,27.6
E01004585,30.4,858,30.4
E01004588,28.3,858,28.3
E01004554,26.2,653,26.2
E01004556,20.8,590,20.8
E01004586,34.1,848,34.1
E01004587,30.3,735,30.3
E01004589,23.2,706,23.2
E01004509,35.9,1122,35.9
E01004511,24,712,24
E01004602,30,706,30
E01004609,33.6,996,33.6
E01033093,36.8,766,36.8
E01033135,27.6,475,27.6
E01004506,37.2,955,37.2
E01004638,19.7,519,19.7
E01004639,35,783,35
E01004640,32.2,797,32.2
E01004641,34.1,818,34.1
E01004508,34.8,986,34.8
E01004510,34.5,917,34.5
E01004514,31.3,799,31.3
E01004515,30.7,739,30.7
E01004551,36.8,884,36.8
E01004568,37.3,458,37.3
E01004574,31.4,727,31.4
E01004575,42,691,42
E01004576,28.7,592,28.7
E01004500,39.9,807,39.9
E01004501,35.3,712,35.3
E01004503,34.1,738,34.1
E01004505,41.3,838,41.3
E01004507,39.4,962,39.4
E01004553,33.8,766,33.8
E01004557,30.6,650,30.6
E01004558,25.9,675,25.9
E01004559,20.5,503,20.5
E01004619,25.4,536,25.4
E01004572,33.1,706,33.1
E01004642,35.9,761,35.9
E01004643,34.1,851,34.1
E01004644,37.5,870,37.5
E01004645,36.5,844,36.5
E01004477,20.9,607,20.9
E01004478,20.1,538,20.1
E01004479,28.9,613,28.9
E01004550,27.5,570,27.5
E01004555,17.4,587,17.4
E01004494,32.8,762,32.8
E01004513,31.6,833,31.6
E01004600,33.1,893,33.1
E01004601,34.8,1006,34.8
E01004493,34.1,803,34.1
E01004512,29.8,618,29.8
E01004620,29.3,702,29.3
E01004621,27.9,659,27.9
E01004623,26.5,712,26.5
E01004627,25.2,631,25.2
E01004499,31.1,713,31.1
E01004502,27.5,670,27.5
E01004504,21.4,566,21.4
E01004594,22.5,590,22.5
E01004596,26.2,646,26.2
E01004629,24.3,609,24.3
E01004472,28.7,742,28.7
E01004474,35.8,918,35.8
E01004476,40.4,824,40.4
E01004542,23.8,618,23.8
E01004544,28.2,606,28.2
E01004628,31.7,911,31.7
E01004630,27.5,679,27.5
E01004631,38.1,643,38.1
E01004633,26.6,623,26.6
E01004569,28.5,737,28.5
E01004570,35.8,745,35.8
E01004571,33.3,651,33.3
E01004573,33.8,631,33.8
E01004495,22.9,523,22.9
E01004496,32.1,951,32.1
E01004497,22.7,541,22.7
E01004622,38.6,533,38.6
E01004624,22.4,624,22.4
E01004593,35.3,852,35.3
E01004595,31.7,796,31.7
E01004597,31.5,779,31.5
E01004598,30.4,818,30.4
E01004599,22.1,575,22.1
E01004473,29.2,746,29.2
E01004475,29.1,622,29.1
E01004480,24.3,678,24.3
E01004483,32.9,1011,32.9
E01004484,29.3,652,29.3
E01004486,42.2,784,42.2
E01004543,25.9,717,25.9
E01004545,45.4,850,45.4
E01004546,26.1,640,26.1
E01004549,34.5,672,34.5
E01004625,18.1,469,18.1
E01004626,31.4,724,31.4
E01004632,25.3,593,25.3
E01004634,38,697,38
E01004635,31.8,691,31.8
E01004636,31.8,650,31.8
E01004637,29.7,602,29.7
E01004481,23.6,716,23.6
E01004488,33.3,625,33.3
E01004547,34.3,551,34.3
E01004548,43.1,1054,43.1
E01004482,27.3,626,27.3
E01004485,28.8,691,28.8
E01004487,37.5,715,37.5
E01004489,37.7,612,37.7
E01004490,23.5,614,23.5
E01004491,55.3,971,55.3
E01004492,31.3,744,31.3
E01004498,30.2,784,30.2
E01004532,30,644,30
E01004611,22.8,570,22.8
E01004612,18.1,558,18.1
E01004618,20.7,527,20.7
E01004531,23.4,649,23.4
E01004533,25,569,25
E01004610,17.1,632,17.1
E01004613,37.1,677,37.1
E01004614,31.5,855,31.5
E01004615,33.9,757,33.9
E01004616,25.4,816,25.4
E01004617,31.2,638,31.2
E01004525,20.3,659,20.3
E01004526,31.8,655,31.8
E01004527,22.7,578,22.7
E01004528,32.7,655,32.7
E01004529,29.4,902,29.4
E01004530,30.5,789,30.5
E01004516,17.8,510,17.8
E01004518,26.9,650,26.9
E01004519,25.2,632,25.2
E01004520,20.9,459,20.9
E01004523,45.2,722,45.2
E01004517,33.1,810,33.1
E01004521,28,768,28
E01004522,27.1,628,27.1
E01004524,45.9,774,45.9
E01004647,40.4,685,40.4
E01004649,36.5,716,36.5
E01004724,45.2,850,45.2
E01004730,40.3,804,40.3
E01004646,26.6,616,26.6
E01004648,40.1,1122,40.1
E01004650,39.2,932,39.2
E01004710,30.7,635,30.7
E01004711,34.9,759,34.9
E01004651,54.4,1137,54.4
E01004725,53.7,799,53.7
E01004726,40.9,824,40.9
E01004728,46.9,808,46.9
E01004729,54.6,856,54.6
E01004718,36.4,850,36.4
E01004719,30.9,786,30.9
E01004720,29.7,777,29.7
E01004721,40.2,879,40.2
E01004722,28.9,849,28.9
E01004674,36.4,843,36.4
E01004675,44.6,1098,44.6
E01004677,40.2,876,40.2
E01004678,38.4,889,38.4
E01004679,35.1,935,35.1
E01004723,40.4,997,40.4
E01004676,40.1,794,40.1
E01004706,29.8,735,29.8
E01004707,24.9,798,24.9
E01004708,41.1,788,41.1
E01004756,42.3,866,42.3
E01004701,47.3,843,47.3
E01004703,35.8,1027,35.8
E01004705,37.7,700,37.7
E01004709,37.1,765,37.1
E01033600,43.8,644,43.8
E01033608,47.5,735,47.5
E01004659,48.5,961,48.5
E01004660,40.3,873,40.3
E01004712,46.8,842,46.8
E01004727,38.6,977,38.6
E01004670,34.3,948,34.3
E01004702,33.2,994,33.2
E01033598,37.8,502,37.8
E01033601,33.6,589,33.6
E01033602,35,645,35
E01033603,44.5,600,44.5
E01033604,50.6,620,50.6
E01033605,36.9,815,36.9
E01004754,36.5,600,36.5
E01004755,40.2,963,40.2
E01004757,28.7,600,28.7
E01032512,31,989,31
E01032513,41.3,567,41.3
E01004713,44.2,939,44.2
E01004714,48.9,1177,48.9
E01004716,40.7,724,40.7
E01004717,52.7,898,52.7
E01004762,53.1,1136,53.1
E01004657,52.1,827,52.1
E01004658,52.4,744,52.4
E01004661,47.5,892,47.5
E01004662,52,1040,52
E01004663,44.8,851,44.8
E01004715,51.5,824,51.5
E01004763,56.9,1076,56.9
E01004765,49.8,1103,49.8
E01033595,62.8,755,62.8
E01033596,59.5,745,59.5
E01004653,48.4,929,48.4
E01004654,47.3,1204,47.3
E01004656,52,1178,52
E01004760,41.6,771,41.6
E01033606,52.3,614,52.3
E01033607,47.9,616,47.9
E01004680,43.2,708,43.2
E01004683,39.1,767,39.1
E01004684,50.5,701,50.5
E01004686,59.9,848,59.9
E01033593,57.7,645,57.7
E01033594,53.6,711,53.6
E01004681,47.3,1150,47.3
E01004682,53.2,765,53.2
E01004694,49.4,949,49.4
E01004697,47.1,816,47.1
E01004700,51.4,941,51.4
E01004652,47.1,958,47.1
E01004693,48.8,735,48.8
E01004695,45.6,669,45.6
E01004696,45.5,760,45.5
E01004698,50,754,50
E01004699,46.4,1165,46.4
E01004734,55.3,1104,55.3
E01004735,59.5,977,59.5
E01004736,52,729,52
E01004761,54.7,1085,54.7
E01004687,44.2,799,44.2
E01004688,49.4,486,49.4
E01004689,46.9,510,46.9
E01004690,37.5,627,37.5
E01004691,52.3,816,52.3
E01004692,39.6,644,39.6
E01004731,48,910,48
E01004732,53.4,697,53.4
E01004733,42.5,926,42.5
E01004744,55.5,744,55.5
E01004748,41.1,615,41.1
E01004740,50.6,776,50.6
E01004743,47,713,47
E01004745,45.2,1125,45.2
E01004746,49.8,757,49.8
E01004747,45.2,1127,45.2
E01004742,47.4,779,47.4
E01004749,43.7,1185,43.7
E01004751,46.2,943,46.2
E01004752,51.2,905,51.2
E01004753,52.2,1041,52.2
E01004666,46.1,553,46.1
E01004667,53.4,743,53.4
E01004668,35.3,645,35.3
E01004750,55.3,951,55.3
E01033597,62.2,621,62.2
E01033599,32.7,630,32.7
E01004665,37,611,37
E01004669,43.3,758,43.3
E01004737,45.8,683,45.8
E01004738,50.3,722,50.3
E01004739,66.2,950,66.2
E01004741,52.6,698,52.6
E01000027,27.3,641,27.3
E01000028,32.2,612,32.2
E01000029,32.5,690,32.5
E01000030,28.3,770,28.3
