LSOAs,Median_houseP
E01001719,230
E01001720,340
E01001742,353.75
E01001801,210.25
E01001803,367.5
E01001806,249.95
E01001741,570.133
E01001805,270.105
E01001829,475
E01001831,357.5
E01001832,485
E01001764,246.1
E01001765,223
E01001767,330
E01001770,247.75
E01033703,291.5
E01033713,245
E01001792,400
E01001793,425
E01001794,330
E01001795,187.5
E01001796,342
E01001736,359.498
E01001737,360
E01001738,270
E01001739,350
E01001786,166
E01001787,236
E01001788,162.5
E01001790,142.5
E01001740,215
E01001747,283
E01001830,368.495
E01001833,347.5
E01001834,295.5
E01001835,328.5
E01001733,410
E01001785,385
E01001789,360
E01001791,380.75
E01001745,239.5
E01001746,285
E01001757,154
E01001758,220
E01001759,275
E01001761,280
E01001731,190
E01001734,287
E01001760,250
E01001762,325
E01001846,279
E01001847,221.5
E01001848,305
E01001849,222
E01001729,145
E01001730,#VALUE!
E01001732,145.614
E01001735,275
E01001838,167.5
E01001850,210
E01001748,262
E01001749,322
E01001763,425
E01001816,671
E01001819,475.5
E01001744,345
E01001750,320
E01001751,590
E01001756,298.5
E01033698,250
E01033699,386.25
E01033700,315
E01033707,295
E01001836,365
E01001840,275
E01001841,472.5
E01001844,436.75
E01001845,250
E01001837,305.75
E01001839,325
E01001842,324
E01001843,370
E01033704,329
E01033712,304.998
E01001772,220
E01001774,265
E01001775,280
E01001815,345
E01001820,250
E01001821,275
E01001752,470
E01001753,312.5
E01001754,312.55
E01001755,250
E01001773,280
E01001776,332.5
E01001779,330
E01001781,250
E01001782,425
E01001783,195
E01001777,295
E01001780,275
E01001784,253.5
E01033706,425
E01033708,465
E01033709,285
E01033711,347.5
E01001798,192.5
E01001828,175
E01033702,341.5
E01033705,285
E01033710,220
E01001722,274.85
E01001728,182.5
E01001822,270
E01001827,167.5
E01001874,385
E01001875,265
E01001876,260
E01001877,190
E01001878,290
E01001955,445.5
E01001957,190
E01001958,210
E01001961,192
E01001954,499.999
E01001956,461.5
E01001959,360
E01001960,355
E01001943,557.5
E01001944,249
E01001945,337.5
E01001946,407.5
E01001862,340
E01001940,298.225
E01001941,315
E01001942,321.25
E01001858,250
E01001860,257.5
E01001861,321.3
E01001863,496.625
E01001864,609
E01001852,375
E01001853,357.475
E01001854,295
E01001857,204
E01001859,362.5
E01001865,447.5
E01001927,1250
E01001930,400
E01001895,470
E01001896,405
E01001897,862.5
E01001929,650
E01001851,800
E01001855,427.5
E01001856,1512.5
E01001869,1500
E01001873,362.5
E01001928,864
E01001931,290
E01001932,486
E01001933,415
E01001866,630
E01001867,330
E01001868,306
E01001870,379.25
E01001871,517.25
E01001872,395
E01001893,320
E01001894,485
E01001898,466.25
E01001899,360
E01001900,582.85
E01001889,457
E01001910,322
E01001913,472.5
E01001914,345
E01001885,200
E01001908,410
E01001909,385
E01001911,352.5
E01001912,310.485
E01001886,675
E01001887,380
E01001890,321
E01001892,420
E01001880,399.95
E01001881,647.25
E01001882,555
E01001883,455
E01001884,412.07
E01001888,637.5
E01001891,390
E01001917,520
E01001918,495
E01001919,760
E01001879,495.75
E01001901,873.501
E01001902,472.5
E01001903,427.5
E01001920,345
E01001921,902.5
E01001922,1250.876
E01001923,622.5
