LSOAs,Median_houseP
E01004710,315
E01004711,352.5
E01004651,473
E01004725,435
E01004726,625
E01004728,482.5
E01004729,381.5
E01004718,429.25
E01004719,470
E01004720,498.5
E01004721,277.5
E01004722,352.5
E01004674,320
E01004675,330
E01004677,408.75
E01004678,337.5
E01004679,307.5
E01004723,305
E01004676,405
E01004706,645
E01004707,707.5
E01004708,440
E01004756,420
E01004701,595
E01004703,797.5
E01004705,715
E01004709,517.5
E01033600,968
E01033608,517.5
E01004659,531.225
E01004660,745
E01004712,813.75
E01004727,625
E01004670,377.5
E01004702,295
E01033598,390
E01033601,490
E01033602,310
E01033603,404.25
E01033604,195
E01033605,295
E01004754,340
E01004755,355
E01004757,497
E01032512,432.5
E01032513,340
E01004713,825
E01004714,815
E01004716,650
E01004717,680
E01004762,973.5
E01004657,1025
E01004658,525
E01004661,799.95
E01004662,727.5
E01004663,785
E01004715,335
E01004763,434
E01004765,1000
E01033595,760
E01033596,1135
E01004653,757.5
E01004654,675
E01004656,620
E01004760,532.5
E01033606,485
E01033607,455
E01004680,660
E01004683,790
E01004684,620
E01004686,412.5
E01033593,673
E01033594,840
E01004681,625
E01004682,712.5
E01004694,890
E01004697,649.975
E01004700,740
E01004652,442.5
E01004693,907.5
E01004695,640
E01004696,395
E01004698,492.475
E01004699,650
E01004734,532.5
E01004735,650
E01004736,728.9
E01004761,1553.878
E01004687,1650
E01004688,1250
E01004689,2410
E01004690,2090
E01004691,1521.1
E01004692,1735.5
E01004731,767.5
E01004732,425
E01004733,715
E01004744,627.5
E01004748,978.5
E01004740,384
E01004743,684
E01004745,550
E01004746,305
E01004747,610
E01004742,540
E01004749,680
E01004751,957.5
E01004752,493.125
E01004753,451.25
E01004666,375
E01004667,435
E01004668,612
E01004750,592.5
E01033597,897.5
E01033599,641
E01004665,325
E01004669,320
E01004737,1019.975
E01004738,540
E01004739,499.95
E01004741,457.5
E01000027,182.5
E01000028,150
E01000029,231
E01000030,176.5
E01000031,223.75
E01000032,216
E01000110,212
E01000111,174
E01000112,185
E01000113,204.5
E01000034,172.5
E01000037,205
E01000038,205
E01000039,192.5
E01000063,163.5
E01000100,160.5
E01000101,159.5
E01000109,167.5
E01000114,180
E01000033,172
E01000060,158
E01000061,116.5
E01000062,163
E01000064,142.5
E01000065,158.75
E01000078,155.748
E01000080,158.75
E01000081,169
E01000082,155
E01000083,169
E01000102,160
E01000021,160
E01000022,165
E01000023,179.995
E01000024,169.5
E01000025,160.5
E01000077,167.25
E01000015,150
E01000016,159.995
E01000017,167.5
E01000018,162
E01000079,146
E01000035,180
E01000036,202.5
E01000107,175
E01000108,190
E01000066,259.748
E01000067,250
E01000069,298
E01000070,250
E01000071,249.995
E01000057,152.5
E01000073,155
E01000074,152
E01000075,181.5
E01000076,151
E01000013,161
E01000014,160
E01000059,150.998
E01000084,151
E01000085,147.75
E01000086,160
E01000103,167.5
E01000104,134.925
E01000105,154.5
E01000106,105
E01000007,212
E01000008,140
E01000010,151.475
E01000012,170
E01000006,240.5
E01000009,226.5
E01000011,214
E01000044,183
E01000068,260
E01000041,160
E01000042,153.5
E01000045,139.5
E01000046,158
E01000072,172.75
E01000054,159.5
E01000055,152
E01000056,155
E01000058,168
E01000095,159.75
E01000040,173
E01000043,225
E01000050,188.5
E01000052,149.5
E01000092,175
E01000053,112
E01000087,160
E01000088,159
E01000089,150
E01000090,150
E01000048,129
E01000049,135
E01000051,137
E01033587,135
E01033588,156
E01000091,171.25
E01000093,178.5
E01000094,160
E01000096,165
E01000019,170
E01000020,155
E01000097,196.5
E01000098,207
E01000099,205
E01032580,176.5
E01000248,320
E01000249,489
E01000250,327.5
E01000254,406.25
E01000292,295
E01000293,420
E01000167,225
E01000246,330
E01000247,250
E01000251,212.25
E01000252,287
E01000166,326
E01000168,407.5
E01000169,275
E01000172,352.498
E01000285,250
E01000287,268.75
E01000288,345
E01000289,235
E01000291,277.475
E01000294,347.325
E01000267,375
E01000268,226.45
E01000269,344.5
E01000270,248.475
E01000170,249
E01000171,200
E01000173,372.5
E01000174,270
E01000175,348.5
E01000228,493
E01000253,1100
E01000279,700
E01000280,830
E01000286,245
E01000290,437.5
E01000271,340
E01000272,870
E01000273,320
E01000281,225
E01000282,450
E01000115,457
E01000116,340
E01000119,434.5
E01000120,505
E01000122,365.5
E01000117,319
E01000118,355
E01000121,302
E01000123,277.5
E01000124,265
E01000265,220
E01000266,609
E01000274,291.725
E01000320,462.5
E01000322,233
E01000275,330
E01000277,299.375
E01000283,705
E01000284,295
E01000321,293.75
E01000195,175
E01000229,312.5
E01000230,322.5
E01000231,205
E01000232,421.75
E01000233,331
E01000186,486.25
E01000187,395
E01000188,592.5
E01000189,271.5
E01000190,465
E01000191,499.95
E01000158,258.25
E01000159,495
E01000160,310
E01000161,250
E01000162,378
E01000324,405
E01000256,323.5
E01000258,420
E01000263,760
E01000264,290
E01000255,326.5
E01000257,265
E01000261,552.5
E01000262,390
E01000192,307.5
E01000193,420
E01000194,319.5
E01000226,218
E01000227,350
E01000299,220
E01000300,317.5
E01000302,250
E01000317,286
E01000318,405
E01000323,220
E01000276,572.5
E01000278,605
E01000301,495
E01000303,600
E01000304,273
E01000130,232
E01000132,230
E01000133,236.25
E01000234,415
E01000235,286
E01000156,307.5
E01000157,207
E01000163,171
E01000164,261.5
E01000165,369
E01000315,285
E01000197,400
E01000295,515
E01000296,273
E01000298,304.9
E01000125,221
E01000127,232.5
E01000128,245
E01000129,228.5
E01000131,248.75
E01000134,230.5
E01000198,482.5
E01000199,472.5
E01000204,340
E01000259,365
E01000260,286.25
E01000126,219
E01000151,200
E01000152,174.5
E01000153,228.75
E01000154,215
E01000176,321
E01000178,509
E01000184,225
E01000297,266
E01000316,250
E01000319,290
E01000196,323.75
E01000200,318
E01000201,1170
E01000202,352.5
E01000203,377.5
E01000177,340
E01000179,315
E01000180,332.5
E01000181,685
E01000182,514
E01000185,202
E01000147,322
E01000148,213.25
E01000155,209
E01033572,287.45
E01033573,275.5
E01000239,235
E01000240,350
E01000241,340
E01000309,331
E01000237,340
E01000242,554.975
E01000243,239
E01000244,315
E01000245,325
E01000314,335
E01000183,337.5
E01000206,3175
E01000207,1205
E01000208,570
E01000210,352.5
E01000213,2193.75
E01000236,310
E01000238,375
E01000310,392.125
E01000311,655
E01000205,575
E01000209,665
E01000211,342.5
E01000212,600
E01000216,648
E01000217,650.4
E01000150,224
E01000305,250
E01000306,330
E01000308,250
E01000312,245
E01000313,250
E01000145,580
E01000215,390
E01000218,543
E01000219,601
E01000220,425
E01000225,465
E01000135,440
E01000136,1265
E01000144,835
E01000146,450
E01000214,407
E01000141,235
E01000221,161
E01000223,300
E01000307,280
E01000138,430
E01000142,213.75
E01000222,362
E01000224,410.25
E01000137,335
E01000139,328.25
E01000140,413.5
E01000143,243.75
E01000466,90.5
E01000467,115.25
E01000468,166.5
E01000469,147
E01000416,166
E01000418,168.5
E01000422,#VALUE!
E01000464,110
E01000465,82
E01000470,119.5
E01000333,155
E01000335,161
E01000336,122.5
E01000337,155
E01000338,170
E01000403,195
E01000404,128.998
E01000405,158.5
E01000408,159.975
E01000332,148
E01000402,210
E01000406,145
E01000407,161.25
E01000334,227.5
E01000417,247
E01000419,226.25
E01000420,222.5
E01000442,241.933
E01000437,220
E01000438,180
E01000439,181.475
E01000440,238.532
E01000441,166.25
E01000373,140
E01000429,99.5
E01000430,170
E01000431,165
E01000432,167.5
E01000433,171.5
E01000434,145
E01000356,250
E01000357,259
E01000359,250
E01000421,250
E01000450,212.5
E01000451,191
E01000452,221.25
E01000367,177
E01000368,173.248
E01000372,180
E01000380,116
E01000435,162.5
E01000353,280.5
E01000354,215
E01000355,237.498
E01000358,234.5
E01000436,250
E01000401,198
E01000453,221.5
E01000454,210
E01000455,235
E01000456,220
E01000325,262.5
E01000326,177.5
E01000369,208
E01000370,230
E01000371,209.112
E01000360,212.5
E01000362,189.5
E01000365,194.998
E01000366,233.5
E01000394,237.5
E01000388,237.5
E01000392,210
E01000409,225
E01000411,234
E01000414,189.995
E01000415,294
E01000327,265
E01000328,249.5
E01000329,227.5
E01000330,197.5
E01000331,225
E01000340,225.5
E01000395,299
E01000396,237.5
E01000410,219
E01000412,225
E01000413,214
E01000374,172
E01000375,175
E01000376,190
E01000377,157.5
E01000378,186
E01000379,195.5
E01000348,329
E01000349,250
E01000361,220
E01000363,250
E01000389,275
E01000390,208
E01000393,221.5
E01000346,201
E01000347,210
E01000350,288.75
E01000352,168.975
E01000391,207
E01000341,212.5
E01000342,215
E01000343,245
E01000345,241.5
E01000460,355
E01000364,336
E01000444,360
E01000447,275
E01000448,386.25
E01000449,303.25
E01000351,248.5
E01000443,230
E01000445,293
E01000446,215
E01000461,350
E01000339,265
E01000344,246
E01000423,304.998
E01000425,312.5
E01000463,270
E01000424,203.75
E01000426,223.113
E01000427,210
E01000457,170
E01000462,184.5
E01000382,330
E01000384,193.498
E01000387,250
E01000428,202
E01000458,290
E01000459,197.5
E01000381,187.5
E01000383,271.6
E01000385,187.5
E01000386,171.5
E01000398,195.5
E01000399,240
E01000400,221.25
E01032566,170
E01000587,340
E01000589,320
E01000590,332.5
E01000592,382.475
E01000593,297.5
E01000594,240
E01000513,334
E01000514,275
E01000516,281
E01000520,189
E01000588,300.5
E01000515,190
E01000517,410
E01000543,325
E01000591,297.5
E01033463,340
E01000536,530
E01000538,515
E01000539,390
E01000540,300
E01000541,330
E01000518,338
E01000519,282.5
E01000623,398.5
E01000624,304
E01000629,298
E01000480,460
E01000484,244
E01000485,270
E01000486,365
E01000487,298.75
E01000572,380
E01000573,325
E01000574,285
E01000575,320
E01000577,202
E01000562,530
E01000563,499.975
E01000566,367
E01000568,300
E01000569,375
E01000479,550
E01000481,215
E01000482,243.5
E01000483,180
E01000625,250
E01000498,305
E01000622,154.5
E01000626,261.25
E01033464,301.5
E01000497,300
E01000499,332
E01000501,228
E01000502,240
E01000503,401.5
E01000570,285
E01000571,411
E01000576,355
E01000578,248
E01000564,240
E01000565,350
E01000607,258.5
E01000608,268.5
E01000613,230
E01000506,235
E01000509,326
E01000510,229
E01000511,447
E01000627,249
E01000628,350
E01000553,285
E01000554,290
E01000555,645
E01000556,300
E01000557,264.5
E01000558,580
E01000567,220.5
E01000606,259
E01000609,265
E01000611,257.475
E01000615,145
E01000617,262.25
E01000618,287.5
E01000619,270
E01033424,240
E01033457,367.5
E01000504,328.75
E01000505,555
E01000507,380
E01000512,480
E01000559,324
E01000610,182.5
E01000612,230
E01000631,262.5
E01000633,310
E01000634,230.5
E01000616,243
E01000620,282.5
E01000621,271
E01000635,245
E01000636,249.95
E01000596,245
E01000601,225
E01000602,235
E01000603,198.75
E01000604,237.5
E01000605,#VALUE!
E01000488,797.5
E01000637,245
E01000639,289.95
E01000642,249
E01000644,312.5
E01000490,366.25
E01000494,266
E01000495,330.762
E01000560,402.916
E01000561,352.5
E01000638,217
E01000640,240
E01000641,215
E01000643,278
E01000508,206
E01000521,223
E01000522,218
E01000526,216.5
E01000527,226.5
E01000528,245.75
E01000471,249
E01000474,223
E01000476,270
E01000477,270
E01000630,250
E01000595,180
E01000599,150.75
E01000600,180
E01033456,230
E01000545,366.475
E01000546,353.8
E01000547,295
E01000548,320.5
E01000549,430
E01000472,206
E01000473,198
E01000475,250
E01000478,281.5
E01000632,237
E01000489,311.25
E01000491,375
E01000492,692.5
E01000493,580
E01000581,374.975
E01000523,249.975
E01000524,207.5
E01000525,210
E01000533,210
E01000535,320
E01033455,269
E01033485,283.784
E01000579,343
E01000580,499.95
E01000582,952
E01000583,460
E01000586,302.5
E01000530,380
E01000531,346
E01000532,435
E01000534,345
E01000584,580
E01000585,374.975
E01000544,243
E01000550,327.5
E01000551,245
E01000552,339.25
E01000779,185
E01000780,213.75
E01000781,175
E01000782,179
E01000783,175.5
E01000785,185.5
E01000689,247.95
E01000690,300
E01000691,299.95
E01000692,295
E01000784,285
E01000799,285
E01000802,250
E01000803,250
E01000804,387.5
E01000805,255
E01000740,172
E01000741,194.745
E01000742,182.75
E01000745,235
E01000746,250
E01000709,200
E01000710,203.5
E01000711,242.975
E01000714,281
E01000718,187.25
E01000645,596
E01000649,462.5
E01000694,508.9
E01000695,415
E01000696,525
E01000697,295
E01000674,230.75
E01000676,199.975
E01000820,245.5
E01000822,250
E01000823,240
E01000824,198
E01000825,228
E01000743,159
E01000744,160
E01000796,200
E01000798,262.5
E01000800,171
E01000806,220
E01000693,417.5
E01000698,660.25
E01000736,238
E01000737,193.5
E01000672,265
E01000673,292.5
E01000716,276
E01000717,221.5
E01000828,270
E01000712,250
E01000713,245.5
E01000715,278.25
E01000770,392
E01000772,349.995
E01000700,240
E01000702,275
E01000703,270
E01000706,173.75
E01000797,268.288
E01000729,183.75
E01000730,190
E01000735,193
E01000738,198.25
E01000739,172
E01000699,212.25
E01000701,250
E01000704,269
E01000705,238
E01000801,162
E01000646,232.5
E01000647,247.498
E01000648,285
E01000653,507.5
E01000678,344
E01000670,468
E01000675,397.5
E01000677,250
E01000762,255
E01000829,270
E01000719,160
E01000720,153.5
E01000721,159
E01000724,183.5
E01000728,188
E01000651,276.475
E01000668,287.5
E01000669,250
E01000671,248.75
E01000679,250
E01000826,569.95
E01000827,237.5
E01000830,725
E01000831,266.25
E01000833,490
E01000650,575
E01000652,388.75
E01000807,468
E01000809,355
E01000722,209.995
E01000725,172.25
E01000731,199
E01000732,284
E01000733,235
E01000769,342.25
E01000773,385
E01000775,358.5
E01000777,327.5
E01000778,270
E01000808,431.25
E01000810,460
E01000811,370
E01000813,300.753
E01000815,565
E01000661,352.495
E01000662,259
E01000663,257
E01000664,272.5
E01000763,365
E01000764,275
E01000766,385
E01000767,362.5
E01000834,385
E01000727,234.4
E01000734,245
E01000790,210
E01000812,374.5
E01000814,500
E01000723,245
E01000726,195.5
E01000787,203.5
E01000788,225.998
E01000791,267.5
E01000832,397.5
E01000835,310.5
E01000836,367.5
E01000837,286
E01000838,362.616
E01000839,413.266
E01000840,455
E01000841,307.5
E01000753,257.5
E01000754,250
E01000755,415
E01000757,362.5
E01000758,327.525
E01000786,307.5
E01000789,160.75
E01000792,250
E01000793,365
E01000795,280
E01000665,320
E01000666,435
E01000667,925
E01000756,375.5
E01000759,355
E01000760,315
E01000761,352.5
E01000765,330
E01000768,213.75
E01000681,260
E01000682,250
E01000683,230
E01000684,323.5
E01000794,380
E01000749,315
E01000750,250
E01000751,285
E01000752,267
E01000680,490
E01000685,262.5
E01000686,410
E01000687,297.998
E01000688,652.5
E01000654,229.125
E01000655,232
E01000656,248
E01000657,205
E01000659,247.5
E01000816,249.998
E01000818,300
E01000819,230
E01032562,183
E01032563,370
E01000707,377.5
E01000708,290
E01000771,350
E01000774,315
E01032568,235
E01000658,292.5
E01000747,385
E01000748,361.5
E01032570,270
E01001137,202.5
E01001138,182.5
E01001156,218.5
E01001162,242.5
E01001164,246.875
E01001084,375
E01001157,365
E01001159,295
E01001160,292.5
E01001163,203
E01001083,300
E01001086,272.5
E01001087,200
E01001161,235
E01001085,272.475
E01001088,242.5
E01001089,238.75
E01001090,200
E01001091,170
E01001147,185
E01001148,181.25
E01001151,187.5
E01001152,198
E01001158,200
E01001146,202.5
E01001149,185
E01001150,245
E01001153,211
E01001154,160
E01001136,140
E01001139,165
E01001140,160
E01001142,300.05
E01001144,180
E01001141,205
E01001143,175
E01001145,135
E01001191,184
E01001192,170
E01000994,227.5
E01000995,240
E01000996,220
E01000997,218.75
E01000999,190
E01001002,208.25
E01000998,140
E01001000,268.5
E01001003,186
E01001111,181.1
E01001155,136.5
E01001174,247.75
E01001175,189.5
E01001176,225
E01001182,249
E01001183,150
E01001184,242.5
E01001001,164.25
E01001109,165
E01001112,145.25
E01001113,143
E01001114,183.75
E01001116,165
E01000992,240
E01001185,183.5
E01001186,210
E01001188,180
E01001193,209.5
E01001004,180
E01001115,159
E01001117,172.5
E01001178,140
E01001181,122.5
E01001006,170
E01001007,210
E01001177,205
E01001179,196.938
E01001180,180
E01000980,207.5
E01000981,215
E01000982,204
E01000983,231.25
E01001187,189.975
E01000989,275
E01000991,300
E01001131,225
E01001132,280
E01001134,248.5
E01001005,193.5
E01001008,172.5
E01001009,202.5
E01001010,185
E01001011,187.5
E01001012,245
E01001013,162
E01001048,172.5
E01001110,200
E01001118,166.5
E01000985,287.5
E01000986,272.5
E01000987,280
E01000993,250
E01000975,232.5
E01000976,202
E01000977,170
E01000978,177.5
E01000979,237.475
E01000984,209
E01001044,266
E01001046,193.5
E01001049,380
E01001050,213
E01001014,167.995
E01001042,204
E01001165,225.5
E01001166,173
E01001168,176
E01001127,330
E01001128,233.8
E01001130,123
E01001135,317
E01001062,380.4
E01001063,242.5
E01001064,310
E01001129,340
E01001133,265
E01001035,185.5
E01001043,185
E01001045,203
E01001047,224.75
E01001170,161
E01001167,230
E01001169,225
E01001171,232
E01001172,212.75
E01001173,188
E01001036,277.5
E01001037,208
E01001038,170
E01001039,435
E01001040,220
E01001051,163
E01001052,158
E01001054,163
E01001056,162
E01001057,#VALUE!
E01001033,239.5
E01001034,195
E01001041,210
E01001095,220
E01001100,330
E01001053,163
E01001055,105
E01001077,215
E01001078,182.5
E01001082,189
E01001120,248.975
E01001122,388
E01001123,345
E01001124,425
E01001125,300.75
E01001058,213.25
E01001059,160
E01001060,185
E01001061,153
E01001065,169
E01001066,197.5
E01001119,244
E01001126,242.5
E01001032,425
E01001101,377.5
E01001102,322.5
E01001107,415
E01001108,357.5
E01001076,198.25
E01001079,185
E01001080,172.735
E01001081,169
E01001073,248
E01001092,364
E01001093,212.5
E01001096,402.5
E01001097,196
E01001098,417
E01001028,575
E01001029,430
E01001030,427.5
E01001031,447.5
E01001094,768.912
E01001103,342.25
E01001105,256.5
E01001106,282.5
E01001121,360
E01001069,262.5
E01001070,249.95
E01001075,239
E01001099,248
E01001015,355
E01001016,239
E01001023,190
E01001067,380
E01001074,242.5
E01001068,360
E01001071,267.5
E01001072,535
E01001104,297.5
E01001017,395
E01001024,220
E01001025,267.5
E01001026,249
E01001027,482.5
E01001018,303.5
E01001019,355.25
E01001020,250
E01001021,212.5
E01001022,270
E01000990,198.25
E01001189,185
E01001190,198
E01001194,204.5
E01032569,225
E01001269,255
E01001271,250
E01001309,265
E01001310,249.975
E01001311,250
E01001307,275
E01001308,320
E01001312,250
E01001313,290
E01001314,272
E01001315,233
E01001316,190
E01001317,168
E01001318,182
E01001320,192.498
E01001321,240
E01001270,250
E01001319,250
E01001322,279.25
E01001323,180
E01001341,270
E01001342,273
E01001343,287.5
E01001345,250
E01001265,237.386
E01001266,315
E01001267,197
E01001272,312.5
E01001349,282.5
E01001344,202.5
E01001346,252.5
E01001347,266.25
E01001348,266
E01001257,230
E01001324,184.25
E01001326,185.5
E01001330,138.5
E01001332,162
E01001325,250
E01001327,250
E01001328,193.5
E01001329,177.5
E01001331,124
E01001258,250
E01001262,167.5
E01001263,224.5
E01001264,240
E01032743,151
E01032744,203.75
E01001276,260
E01001277,250
E01001278,250
E01001280,282.5
E01001218,172
E01001260,227.5
E01001261,240
E01001268,292.5
E01001209,540
E01001211,286
E01001279,585
E01001281,515
E01001217,250
E01001259,209
E01001291,257
E01001292,277.5
E01001293,245
E01001196,225
E01001238,200
E01001239,225
E01001246,291
E01001247,419.5
E01001210,266
E01001282,250
E01001283,246
E01001285,270
E01001286,275
E01001287,277.5
E01001294,231
E01001295,248.975
E01001296,250
E01001297,159
E01001298,265
E01001204,412.5
E01001205,247.5
E01001206,495
E01001207,295
E01001208,499.5
E01001212,363
E01001222,270
E01001224,360
E01001226,305
E01001227,670
E01001228,366
E01001221,280
E01001223,298.5
E01001225,484.975
E01001235,301.5
E01001236,395
E01001273,500
E01001274,540
E01001275,337.5
E01001195,376.25
E01001197,308.5
E01001198,480
E01001199,300
E01001284,343.475
E01001288,374.5
E01001289,270
E01001290,291.5
E01001213,207
E01001214,250
E01001215,250
E01001216,229.5
E01001361,157.5
E01001240,363.5
E01001241,332.5
E01001242,550
E01001243,246.25
E01001244,235
E01001245,335
E01001200,435
E01001201,682.5
E01001202,290
E01001203,290
E01001351,260
E01001359,220
E01001360,240.5
E01001362,228
E01001363,229
E01001364,175
E01001365,248
E01001231,355
E01001234,299.95
E01001350,545
E01001352,384
E01001354,412
E01001249,314.5
E01001250,221
E01001255,408
E01001383,403
E01001388,402
E01001389,280
E01001219,170
E01001220,150
E01001334,167
E01001337,282.5
E01001338,165
E01001339,227.5
E01001340,150
E01001251,348.5
E01001252,284.075
E01001253,372.5
E01001254,344
E01001229,250
E01001230,394
E01001232,345.975
E01001233,360
E01001237,458.75
E01001386,535
E01001303,460
E01001382,622.5
E01001384,420
E01001385,459.75
E01001387,300
E01001353,293.5
E01001355,296
E01001356,194.95
E01001357,123
E01001358,253.75
E01001375,705
E01001377,1100
E01001379,765
E01001381,372
E01001248,340.25
E01001299,488.75
E01001305,486
E01001306,425.975
E01001366,200
E01001367,287
E01001368,280
E01001370,240
E01001371,225.5
E01001372,192.5
E01001373,203.75
E01001333,245
E01001335,177
E01001336,315
E01001369,167.5
E01001300,535
E01001301,296.5
E01001302,462.5
E01001304,308
E01001374,540
E01001376,323.25
E01001380,530
E01032572,490
E01001444,228.5
E01001446,172.5
E01001546,225
E01001552,241
E01001442,194
E01001545,163.5
E01001547,227.5
E01001548,200
E01001551,230
E01001445,160
E01001447,195
E01001448,212.5
E01001449,200
E01033148,182.5
E01033150,157
E01001408,250
E01001411,289
E01001412,369.995
E01001413,340.5
E01001414,191.5
E01001407,237
E01001409,178
E01001410,123
E01001516,249
E01001537,195
E01001439,181.498
E01001441,216
E01001517,175
E01001549,147.5
E01001550,228
E01001433,207
E01001434,235
E01001435,199
E01001436,242.5
E01001438,243.5
E01001469,250
E01001536,320
E01001540,197.5
E01001541,290.75
E01001542,193.75
E01001538,307.5
E01001539,275
E01001543,323
E01001544,355
E01001457,225
E01001468,244.25
E01001471,220
E01001472,226.25
E01001474,275
E01001415,250
E01001417,1047.5
E01001418,452.75
E01001422,1335
E01001440,210
E01001504,212
E01001505,208.5
E01001507,160
E01001508,195
E01001513,202.5
E01001416,477
E01001470,400
E01001473,440
E01001475,457.5
E01001437,220
E01001506,211.5
E01001509,142.5
E01001510,#VALUE!
E01001405,226
E01001406,211
E01001450,210
E01001512,222.5
E01001515,180
E01001401,310
E01001478,230
E01001484,235
E01001511,240
E01001514,220
E01001518,265
E01001451,320
E01001452,635
E01001453,465
E01001454,297.5
E01001476,183
E01001477,208
E01001481,232.5
E01001502,230
E01001503,218.998
E01001520,280
E01001522,248
E01001523,292.5
E01001524,465
E01001526,270
E01001419,250
E01001420,297.5
E01001421,245
E01001519,222
E01001525,301.25
E01001398,379
E01001399,308
E01001400,393.75
E01001402,317
E01001403,277.5
E01001455,363.75
E01001456,547.5
E01001564,370
E01001567,557
E01001568,625
E01001569,332
E01001479,205
E01001482,226
E01001487,202
E01001489,213.5
E01001491,210
E01001459,219.25
E01001460,183
E01001462,156.5
E01001480,247
E01001488,208.5
E01001483,118.75
E01001485,188
E01001486,152.5
E01001492,220
E01033146,227.5
E01033151,131
E01001404,352.5
E01001493,294.5
E01001494,300.75
E01001496,366.25
E01001570,380.5
E01001423,247
E01001425,182
E01001428,235
E01001461,240
E01001464,250
E01001521,365
E01001531,472.25
E01001532,530
E01001533,524.95
E01001535,680
E01001495,248.75
E01001498,257.5
E01001563,203.5
E01001565,335
E01001566,274
E01001424,175
E01001426,177
E01001427,228.75
E01001429,129.125
E01001430,177
E01001463,225.5
E01001465,238
E01001466,185
E01001467,210
E01001497,265
E01001499,305
E01001392,335.5
E01001528,187.5
E01001529,165
E01001530,295
E01001534,418.75
E01001431,118.5
E01001432,192
E01001555,204
E01001557,201
E01001558,190.5
E01001559,180
E01001394,259.5
E01001395,207.5
E01001397,217.5
E01001500,371
E01001556,284
E01001560,230
E01001390,304
E01001391,357
E01001393,230
E01001396,249.998
E01001501,235
E01001527,272.5
E01001458,135
E01001553,185
E01001554,106.25
E01001562,123.75
E01032574,212.75
E01001690,157.5
E01001692,157
E01001693,170
E01001694,149.25
E01001687,150.5
E01001688,161
E01033739,147.5
E01033740,167
E01033741,161.25
E01033743,207.5
E01033745,166.5
E01001575,161
E01001576,162
E01001577,153.5
E01001578,156
E01001579,173
E01001709,129.5
E01001711,120
E01001712,88.5
E01033731,228
E01033734,253
E01033735,151.5
E01033736,275
E01033737,215
E01001705,81.5
E01001706,108
E01001708,316.5
E01001710,163
E01001713,#VALUE!
E01001672,168.5
E01001673,167
E01001674,190.75
E01001675,178.75
E01001677,175
E01001631,140
E01001632,168
E01001635,175
E01001636,202.5
E01033742,190
E01033744,158.75
E01001571,188
E01001572,177
E01001573,189.25
E01001574,157
E01001629,175
E01001633,186.5
E01001634,142.5
E01001637,215
E01001695,192
E01001696,170
E01001697,200
E01001700,161.5
E01001703,153
E01001704,220
E01001588,250
E01001589,223
E01001591,225.25
E01001595,247.5
E01001590,333.5
E01001592,250
E01001593,350
E01001594,180
E01001698,133
E01001699,117
E01001701,189
E01001702,152
E01001581,350
E01001585,390
E01001586,217
E01001587,377.5
E01001678,190
E01001683,225
E01001684,205
E01001685,168
E01001646,196.225
E01001650,237.5
E01001651,192.5
E01001652,303.5
E01001679,214.995
E01001680,276.25
E01001681,190
E01001682,231.5
E01001686,180
E01001580,442.5
E01001582,310
E01001583,280
E01001584,415
E01001645,183
E01001647,270
E01001648,236.25
E01001649,200
E01001605,257.5
E01001606,250
E01001610,224.75
E01001611,233.5
E01001620,220.5
E01001621,235
E01001623,215
E01001624,243.25
E01001625,185
E01001604,341
E01001607,292
E01001608,418
E01001609,268
E01001613,200
E01001614,350
E01001615,183.5
E01001617,216
E01001653,153
E01001654,189.5
E01001655,155.25
E01001660,280
E01001661,177.475
E01001618,238.75
E01001619,215.5
E01033729,178
E01001597,250
E01001598,287.5
E01001602,222.5
E01001603,195
E01001596,281.246
E01001599,276
E01001600,256
E01001601,287
E01001669,177
E01001671,162.1
E01001676,192.5
E01032567,180.9
E01001656,438.675
E01001657,453
E01001658,190
E01001659,375
E01033726,225
E01001640,250
E01033727,275
E01033728,309.5
E01033730,305
E01001666,260
E01001667,223
E01001668,275
E01033732,222
E01033733,312.5
E01001662,373
E01001664,472.5
E01001665,395
E01033738,282.5
E01001638,177.5
E01001641,485
E01001642,787.5
E01001644,267.5
E01033746,466.5
E01002112,670
E01002114,295
E01002225,477.228
E01002226,330
E01002113,316.5
E01002115,330
E01002116,350
E01002117,300
E01002118,257.5
E01002227,250
E01002228,477.65
E01002229,333
E01002230,332.5
E01002144,405.5
E01002146,451
E01002147,518.5
E01002149,524
E01002140,275
E01002141,320
E01002142,250
E01002143,249
E01002145,320
E01002139,213
E01002148,441.25
E01002150,253.975
E01002151,232.5
E01002152,484.975
E01002119,250
E01002120,179.95
E01002121,305
E01002122,275
E01002123,319
E01002106,321.5
E01002108,365
E01002109,497
E01002110,461.25
E01002111,307.5
E01002185,246
E01002186,271.75
E01002187,489
E01002190,568
E01002124,270
E01002125,295
E01002198,285
E01002200,291
E01002203,250
E01002232,265
E01002233,235
E01002234,250
E01002235,280
E01002236,250
E01002107,335
E01002197,350
E01002199,330
E01002201,340
E01002202,190
E01002179,284.5
E01002180,194.975
E01002183,267.5
E01002184,215
E01002231,257.5
E01002154,353.5
E01002156,387.5
E01002162,265
E01002163,402.5
E01002188,800
E01002189,795
E01002192,470
E01002193,455
E01002165,300
E01002166,290
E01002167,216
E01002168,240
E01002169,302.5
E01002153,380
E01002155,325.5
E01002157,361.25
E01002158,452.5
E01002128,250
E01002130,213.25
E01002181,235
E01002182,229
E01002159,335
E01002160,216.25
E01002161,349.95
E01002164,239
E01002191,356
E01002194,500
E01002195,390
